,Price__Price,Key Specs__Backlit Keyboard,Key Specs__Screen Size,Key Specs__Touch Screen,Key Specs__Storage Type,Key Specs__System Memory (RAM),Key Specs__Graphics,Key Specs__Processor Speed (Base),Key Specs__Processor Model,Key Specs__Processor Model Number,Key Specs__Operating System,Key Specs__Battery Type,General__Product Name,General__Brand,General__Model Number,General__Color Category,Feature__Backlit Keyboard,Display__Screen Size,Display__Screen Resolution,Display__Touch Screen,Display__Display Type,Storage__Storage Type,Memory__System Memory (RAM),Memory__Type of Memory (RAM),Graphics__Graphics,Graphics__Graphics Type,Processor__Processor Brand,Processor__Processor Speed (Base),Processor__Processor Model,Processor__Processor Model Number,Compatibility__Operating System,Included__Built-In Webcam,Included__Optical Drive Type,Power__Battery Type,Dimension__Product Height,Dimension__Product Width,Dimension__Product Depth,Certifications & Listings__ENERGY STAR Certified,Certifications & Listings__EPEAT Qualified,Warranty__Manufacturer's Warranty - Parts,Warranty__Manufacturer's Warranty - Labor,Other__UPC
20,Your price for this item is $129.00,No,11.6 inches,No,eMMC,4 gigabytes,Intel HD Graphics,1.6 gigahertz,Intel Celeron,N3060,Chrome OS,Lithium-ion,"11.6"" Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory",Samsung,XE501C13-K02US,Black,No,11.6 inches,1366 x 768 (HD),No,Widescreen LED,eMMC,4 gigabytes,LPDDR3,Intel HD Graphics,Integrated,Intel,1.6 gigahertz,Intel Celeron,N3060,Chrome OS,Yes,None,Lithium-ion,0.7 inches,11.4 inches,8.1 inches,Yes,No,1 year,1 year,887276269436
21,"Your price for this item is $1,099.99",Yes,13.3 inches,No,SSD,8 gigabytes,Intel Iris Plus Graphics 645,1.4 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,Lithium-polymer,"MacBook Pro - 13"" Display with Touch Bar - Intel Core i5 - 8GB Memory - 128GB SSD (Latest Model)",Apple,MUHN2LL/A,Space Gray,Yes,13.3 inches,2560 x 1600 (Retina),No,LCD,SSD,8 gigabytes,LPDDR3,Intel Iris Plus Graphics 645,Integrated,Intel,1.4 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,Yes,None,Lithium-polymer,0.59 inches,12 inches,8.36 inches,Yes,Yes,1 Year,1 Year,190198947833
22,Your price for this item is $499.99,No,15.6 inches,Yes,SSD,12 gigabytes,Intel UHD Graphics 620,1.6 gigahertz,Intel 8th Generation Core i5,i5-8265U,Windows 10 Home in S mode,Lithium-ion,"15.6"" Touch-Screen Laptop - Intel Core i5 - 12GB Memory - 256GB SSD + Optane",HP,15-DY0013DX,Silver,No,15.6 inches,1366 x 768 (HD),Yes,Touchscreen Widescreen LED-LCD,SSD,12 gigabytes,DDR4 SDRAM,Intel UHD Graphics 620,Integrated,Intel,1.6 gigahertz,Intel 8th Generation Core i5,i5-8265U,Windows 10 Home in S mode,Yes,None,Lithium-ion,0.71 inches,14.11 inches,9.53 inches,Yes,No,1 year,1 year,193905272822
23,Your price for this item is $499.99,No,15.6 inches,No,SSD,12 gigabytes,Intel UHD Graphics 620,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,Lithium-ion,"VivoBook 15 15.6"" Laptop - Intel Core i7 - 12GB Memory - 256GB Solid State Drive",ASUS,X512FA-BI7A,Silver,No,15.6 inches,1920 x 1080 (Full HD),No,Full HD Widescreen LED,SSD,12 gigabytes,DDR4 SDRAM,Intel UHD Graphics 620,Integrated,Intel,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,Yes,None,Lithium-ion,0.8 inches,14.1 inches,9.1 inches,No,No,1 year,1 year,192876433584
24,"Your price for this item is $1,099.99",Yes,17.3 inches,No,"SSD, HDD",16 gigabytes,NVIDIA GeForce RTX 2060,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,Lithium-ion,"17.3"" Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB Hard Drive + 256GB SSD",Dell,G7790-7152GRY-PUS,Gray,Yes,17.3 inches,1920 x 1080 (Full HD),No,Widescreen LCD,"SSD, HDD",16 gigabytes,DDR4 SDRAM,NVIDIA GeForce RTX 2060,Discrete,Intel,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,Yes,None,Lithium-ion,1 inches,15.9 inches,11.6 inches,Yes,No,1 year,1 year,884116316152
25,Your price for this item is $299.00,,10 inches,,,,,,Intel Pentium Gold 4415Y,,Windows 10 Home in S mode,Lithium-ion,"Surface Go - 10"" Touch-Screen - Intel Pentium Gold - 4GB Memory - 64GB Storage",Microsoft,MHN-00001,Silver,,10 inches,1800 x 1200,,LCD,,,,,,,,,,Windows 10 Home in S mode,,,Lithium-ion,0.33 inches,9.65 inches,6.9 inches,Yes,,1-year limited hardware,1 Year,889842284188
26,"Your price for this item is $1,499.99",Yes,13.3 inches,No,SSD,8 gigabytes,Intel Iris Plus Graphics 655,2.4 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,Lithium-polymer,"MacBook Pro - 13"" Display with Touch Bar - Intel Core i5 - 8GB Memory - 256GB SSD",Apple,MV962LL/A,Space Gray,Yes,13.3 inches,2560 x 1600 (Retina),No,LED,SSD,8 gigabytes,LPDDR3,Intel Iris Plus Graphics 655,Integrated,Intel,2.4 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,Yes,None,Lithium-polymer,0.59 inches,11.97 inches,8.36 inches,Yes,Yes,1 Year,1 Year,190199112216
27,"Your price for this item is $2,399.99",Yes,15.4 inches,No,SSD,16 gigabytes,AMD Radeon Pro 560X,2.3 gigahertz,Intel 9th Generation Core i9,Intel 9th Generation Core i9,Mac OS,Lithium-polymer,"MacBook Pro 15.4"" Display with Touch Bar - Intel Core i9 - 16GB Memory - AMD Radeon Pro 560X - 512GB SSD",Apple,MV912LL/A,Space Gray,Yes,15.4 inches,2880 x 1800 (Retina),No,LED,SSD,16 gigabytes,DDR4,AMD Radeon Pro 560X,Discrete,Intel,2.3 gigahertz,Intel 9th Generation Core i9,Intel 9th Generation Core i9,Mac OS,Yes,None,Lithium-polymer,0.61 inches,13.8 inches,9.48 inches,Yes,Yes,1 Year,1 Year,190199113589
28,Your price for this item is $189.00,No,15.6 inches,No,eMMC,4 gigabytes,Intel HD Graphics,1.04 gigahertz,Intel Atom,E8000,Chrome OS,Lithium-polymer,"15.6"" Chromebook - Intel Atom x5 - 4GB Memory - 16GB eMMC Flash Memory",Acer,CB3-532-108H,Gray,No,15.6 inches,1366 x 768 (HD),No,Widescreen LED,eMMC,4 gigabytes,LPDDR3,Intel HD Graphics,Integrated,Intel,1.04 gigahertz,Intel Atom,E8000,Chrome OS,Yes,None,Lithium-polymer,1 inches,15.1 inches,10.1 inches,No,No,1 year,1 year,193199060792
29,Your price for this item is $99.00,No,11.6 inches,No,eMMC,2 gigabytes,Intel HD Graphics,1.6 gigahertz,Intel Celeron,N3060,Chrome OS,Lithium-ion,"11.6"" Chromebook - Intel Celeron - 2GB Memory - 16GB eMMC Flash Memory",Samsung,XE501C13-K01US,Black,No,11.6 inches,1366 x 768 (HD),No,Widescreen LED,eMMC,2 gigabytes,LPDDR3,Intel HD Graphics,Integrated,Intel,1.6 gigahertz,Intel Celeron,N3060,Chrome OS,Yes,None,Lithium-ion,0.7 inches,11.4 inches,8.1 inches,Yes,No,1 year,1 year,887276269429
