,Price__Price,Key Specs__Backlit Keyboard,Key Specs__Screen Size,Key Specs__Touch Screen,Key Specs__Storage Type,Key Specs__System Memory (RAM),Key Specs__Graphics,Key Specs__Processor Speed (Base),Key Specs__Processor Model,Key Specs__Processor Model Number,Key Specs__Operating System,Key Specs__Battery Type,General__Product Name,General__Brand,General__Model Number,General__Color Category,Feature__Backlit Keyboard,Display__Screen Size,Display__Screen Resolution,Display__Touch Screen,Display__Display Type,Storage__Storage Type,Memory__System Memory (RAM),Memory__Type of Memory (RAM),Graphics__Graphics,Graphics__Graphics Type,Processor__Processor Brand,Processor__Processor Speed (Base),Processor__Processor Model,Processor__Processor Model Number,Compatibility__Operating System,Included__Built-In Webcam,Included__Optical Drive Type,Power__Battery Type,Dimension__Product Height,Dimension__Product Width,Dimension__Product Depth,Certifications & Listings__ENERGY STAR Certified,Certifications & Listings__EPEAT Qualified,Warranty__Manufacturer's Warranty - Parts,Warranty__Manufacturer's Warranty - Labor,Other__UPC
470,Your price for this item is $293.99,No,14 inches,No,HDD,8 gigabytes,Intel HD Graphics,2.6 gigahertz,Intel 3rd Generation Core i5,i5-2520M,Windows 10 Home,Lithium-ion,"EliteBook 14"" Refurbished Laptop - Intel Core i5 - 8GB Memory - 250GB Hard Drive",HP,8470PI525825010,Silver,No,14 inches,1366 x 768 (HD),No,LED,HDD,8 gigabytes,DDR3 SDRAM,Intel HD Graphics,Integrated,Intel,2.6 gigahertz,Intel 3rd Generation Core i5,i5-2520M,Windows 10 Home,No,,Lithium-ion,,,,No,No,18 months,18 months,812177027748
471,"Your price for this item is $1,329.99",Yes,15.6 inches,No,SSD,16 gigabytes,NVIDIA GeForce GTX 1050 Ti,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,Lithium-polymer,"15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1050 Ti - 512GB Solid State Drive",MSI,PS63 MODERN-008,Gray,Yes,15.6 inches,1920 x 1080 (Full HD),No,Full HD Widescreen LED,SSD,16 gigabytes,DDR4 SDRAM,NVIDIA GeForce GTX 1050 Ti,Discrete,Intel,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,Yes,None,Lithium-polymer,0.6 inches,14.1 inches,9.2 inches,No,No,1 year,1 year,824142175835
472,Your price for this item is $849.99,Yes,15.6 inches,No,SSD,16 gigabytes,NVIDIA GeForce GTX 1650,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,Lithium-polymer,"Nitro 7 15.6"" Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1650 - 512GB Solid State Drive",Acer,AN71551752B,Black,Yes,15.6 inches,1920 x 1080 (Full HD),No,Full HD Widescreen LED,SSD,16 gigabytes,DDR4 SDRAM,NVIDIA GeForce GTX 1650,Discrete,Intel,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,Yes,None,Lithium-polymer,0.9 inches,15.9 inches,11 inches,No,No,1 year,1 year,193199198174
473,Your price for this item is $537.99,No,14 inches,No,HDD,12 gigabytes,Intel HD Graphics,2.6 gigahertz,Intel 5th Generation Core i7,i7-5600U,Windows 10 Pro,Lithium-ion,"ThinkPad 14"" Refurbished Laptop - Intel Core i7 - 12GB Memory - 1TB Hard Drive",Lenovo,T450S-31232,Black,No,14 inches,1600 x 900 (HD+),No,Widescreen LED,HDD,12 gigabytes,DDR3 SDRAM,Intel HD Graphics,Integrated,Intel,2.6 gigahertz,Intel 5th Generation Core i7,i7-5600U,Windows 10 Pro,Yes,None,Lithium-ion,0.8 inches,13.1 inches,8.9 inches,Yes,No,1 year,1 year,825633456143
474,"Your price for this item is $2,029.99",Yes,15.6 inches,No,SSD,16 gigabytes,NVIDIA Quadro T2000,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Pro,Lithium-ion,"ThinkPad P53 15.6"" Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive",Lenovo,20QN001QUS,Black,Yes,15.6 inches,1920 x 1080 (Full HD),No,LCD,SSD,16 gigabytes,DDR4,NVIDIA Quadro T2000,Discrete,Intel,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Pro,Yes,None,Lithium-ion,1.16 inches,14.9 inches,9.93 inches,Yes,Yes,3 Year,3 Year,193638130314
475,Your price for this item is $743.99,Yes,15.6 inches,Yes,SSD,8 gigabytes,Other,1.8 gigahertz,Intel 8th Generation Core i7,i7-8550U,Windows 10 Home,Lithium-ion,"Yoga 730 2-in-1 15.6"" Touch-Screen Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive",Lenovo,81CU0009US,Black,Yes,15.6 inches,1920 x 1080 (Full HD),Yes,Full HD Widescreen LED,SSD,8 gigabytes,DDR4 SDRAM,Other,Integrated,Intel,1.8 gigahertz,Intel 8th Generation Core i7,i7-8550U,Windows 10 Home,Yes,None,Lithium-ion,0.7 inches,14.2 inches,9.8 inches,No,No,1 year,1 year,192330486286
476,Your price for this item is $899.99,Yes,15.4 inches,Yes,SSD,8 gigabytes,Intel Iris Pro graphics 5200,2 gigahertz,Intel 4th Generation Core i7,i7-4750HQ,Mac OS X 10.9 Mavericks,Lithium-polymer,"Macbook Pro® 15.4"" Pre-owned Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive",Apple,ME293LL/A,Silver,Yes,15.4 inches,2880 x 1800 (Retina),Yes,LED-LCD,SSD,8 gigabytes,DDR3L,Intel Iris Pro graphics 5200,Integrated,Intel,2 gigahertz,Intel 4th Generation Core i7,i7-4750HQ,Mac OS X 10.9 Mavericks,Yes,None,Lithium-polymer,0.71 inches,14.13 inches,9.73 inches,Yes,Yes,90 Days,90 Days,643907577987
477,Your price for this item is $529.99,No,15.6 inches,Yes,HDD,8 gigabytes,AMD Radeon Vega 8,2.1 gigahertz,AMD 2nd Generation Ryzen 5,3500U,Windows 10 Home,Lithium-ion,"IdeaPad L340-15API Touch 15.6"" Touch-Screen Laptop - AMD Ryzen 5 - 8GB Memory - 1TB HDD",Lenovo,81LX0001US,Gray,No,15.6 inches,1366 x 768 (HD),Yes,Touchscreen Widescreen LED-LCD,HDD,8 gigabytes,DDR4 SDRAM,AMD Radeon Vega 8,Integrated,AMD,2.1 gigahertz,AMD 2nd Generation Ryzen 5,3500U,Windows 10 Home,Yes,DVD-RW,Lithium-ion,0.9 inches,14.3 inches,10 inches,Yes,No,1 year,1 year,193386280705
478,"Your price for this item is $3,299.99",Yes,15.6 inches,Yes,SSD,16 gigabytes,NVIDIA GeForce RTX 2080 Max-Q,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,Lithium-ion,"Blade 15.6"" 4K Ultra HD Touch-Screen Gaming Laptop - Intel Core i7 - 16GB - NVIDIA GeForce RTX 2080 Max-Q - 512GB SSD",Razer,RZ09-03018E52-R3U1,Black,Yes,15.6 inches,3840 x 2160 (4K),Yes,Widescreen,SSD,16 gigabytes,DDR4 SDRAM,NVIDIA GeForce RTX 2080 Max-Q,Discrete,Intel,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,Yes,None,Lithium-ion,0.7 inches,13.98 inches,9.25 inches,No,No,1 year,1 year,811659033055
479,"Your price for this item is $3,999.99",Yes,15.6 inches,No,SSD,32 gigabytes,Other,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,Lithium-polymer,"Blade Studio Edition 15.6"" 4K Ultra HD Laptop - Intel Core i7 - 32GB Memory - 1TB SSD",Razer,RZ09-03135EM3-R3U1,White,Yes,15.6 inches,3840 x 2160 (4K),No,Widescreen,SSD,32 gigabytes,DDR4 SDRAM,Other,Discrete,Intel,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,Yes,None,Lithium-polymer,0.7 inches,14 inches,9.3 inches,No,No,1 year,1 year,811659035370
480,Your price for this item is $928.99,No,17.3 inches,No,"SSD, HDD",16 gigabytes,Other,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Pro,Lithium-ion,"Inspiron 17.3"" Laptop - Intel Core i7 - 16GB Memory - 2TB Hard Drive + 256GB Solid State Drive",Dell,I3780-7780BLK-PUS,Black,No,17.3 inches,1920 x 1080 (Full HD),No,Full HD Widescreen LED,"SSD, HDD",16 gigabytes,DDR4 SDRAM,Other,Discrete,Intel,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Pro,Yes,DVD-RW,Lithium-ion,1 inches,16.4 inches,11 inches,No,No,1 year,1 year,884116315780
481,"Your price for this item is $2,699.99",Yes,17.3 inches,No,SSD,32 gigabytes,NVIDIA GeForce RTX 2070,2.3 gigahertz,Intel 8th Generation Core i9,i9-9880H,Windows 10 Home,Lithium-ion,"17.3"" Gaming Laptop - Intel Core i9 - 32GB Memory - NVIDIA GeForce RTX 2070 - 1TB Solid State Drive",MSI,GE75 RAIDER-653,Black,Yes,17.3 inches,1920 x 1080 (Full HD),No,Full HD Widescreen LED,SSD,32 gigabytes,DDR4 SDRAM,NVIDIA GeForce RTX 2070,Discrete,Intel,2.3 gigahertz,Intel 8th Generation Core i9,i9-9880H,Windows 10 Home,Yes,None,Lithium-ion,1.1 inches,15.6 inches,10.6 inches,No,No,1 year,1 year,824142185254
482,Your price for this item is $579.99,Yes,13.3 inches,No,SSD,16 gigabytes,Intel HD Graphics 4000,2.4 gigahertz,Intel 3rd Generation Core i5,i5-3210M,Mac OS,Lithium-polymer,"MacBook Pro 13.3"" Laptop - Intel Core i5 - 16GB Memory - 500GB SSD - Pre-Owned",Apple,MD313LL/A-16GB-500SSD,Silver,Yes,13.3 inches,1280 x 800 (WXGA),No,Widescreen LED,SSD,16 gigabytes,DDR3L SDRAM,Intel HD Graphics 4000,Integrated,Intel,2.4 gigahertz,Intel 3rd Generation Core i5,i5-3210M,Mac OS,Yes,DVD+RW DL,Lithium-polymer,0.9 inches,12.8 inches,8.9 inches,Yes,No,Not Available,Not Available,740844197800
483,"Your price for this item is $1,279.99",Yes,15.6 inches,No,SSD,16 gigabytes,Other,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,Lithium-ion,"Legion Y540 15.6"" Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1660 Ti - 256GB Solid State Drive",Lenovo,81SX000SUS,Black,Yes,15.6 inches,1920 x 1080 (Full HD),No,Full HD Widescreen LED,SSD,16 gigabytes,DDR4 SDRAM,Other,Discrete,Intel,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,Yes,None,Lithium-ion,1 inches,14.2 inches,10.5 inches,No,No,1 year,1 year,193386365433
484,"Your price for this item is $1,399.99",Yes,14 inches,No,SSD,8 gigabytes,Intel UHD Graphics 620,1.6 gigahertz,Intel 8th Generation Core i5,i5-8265U,Windows 10 Pro,Lithium-ion,"ThinkPad X1 Carbon 14"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive",Lenovo,20QD000BUS,Black,Yes,14 inches,1920 x 1080 (Full HD),No,LCD,SSD,8 gigabytes,LPDDR3,Intel UHD Graphics 620,Integrated,Intel,1.6 gigahertz,Intel 8th Generation Core i5,i5-8265U,Windows 10 Pro,Yes,None,Lithium-ion,0.59 inches,12.7 inches,8.54 inches,Yes,Yes,3 Years,3 Years,193386815105
485,Your price for this item is $328.99,No,14 inches,No,HDD,8 gigabytes,Intel HD Graphics,2.6 gigahertz,Intel 4th Generation Core i5,i5-4300M,Windows 10 Home,Lithium-ion,"Latitude 14"" Refurbished Laptop - Intel Core i5 - 8GB Memory - 1TB Hard Drive",Dell,E6440-31208,Silver,No,14 inches,1366 x 768 (HD),No,Widescreen LED,HDD,8 gigabytes,DDR3 SDRAM,Intel HD Graphics,Integrated,Intel,2.6 gigahertz,Intel 4th Generation Core i5,i5-4300M,Windows 10 Home,No,DVD-RW,Lithium-ion,1.3 inches,13.3 inches,9.2 inches,Yes,No,1 year,1 year,825633455900
486,Your price for this item is $264.99,No,14 inches,No,SSD,8 gigabytes,None,1.9 gigahertz,Intel 4th Generation Core i5,i5-4300U,Windows 10 Pro,Lithium-ion,"Latitude 14"" Refurbished Laptop - Intel Core i5 - 8GB Memory - 128GB Solid State Drive",Dell,E5440.8.128.PRO,Black,No,14 inches,1366 x 768 (HD),No,Widescreen LED,SSD,8 gigabytes,Not provided,None,None,Intel,1.9 gigahertz,Intel 4th Generation Core i5,i5-4300U,Windows 10 Pro,No,None,Lithium-ion,1.3 inches,13.3 inches,9.3 inches,No,No,18 months,18 months,841631122422
487,Your price for this item is $299.99,No,14 inches,No,HDD,8 gigabytes,None,2 gigahertz,Intel 4th Generation Core i5,i5-4310U,Windows 10 Pro,Lithium-ion,"EliteBook 14"" Refurbished Laptop - Intel Core i5 - 8GB Memory - 500GB Hard Drive",HP,9480.8.500.PRO,Black,No,14 inches,1366 x 768 (HD),No,Widescreen LED,HDD,8 gigabytes,Not provided,None,None,Intel,2 gigahertz,Intel 4th Generation Core i5,i5-4310U,Windows 10 Pro,No,None,Lithium-ion,0.7 inches,13.3 inches,9.1 inches,No,No,18 months,18 months,841631128295
488,"Your price for this item is $1,499.99",Yes,13.3 inches,No,SSD,16 gigabytes,Intel Iris Plus Graphics,1.3 gigahertz,Intel 10th Generation Core i7,i7-1065G7,Windows 10 Home,Lithium-polymer,"Blade Stealth 13.3"" Laptop - Intel Core i7 - 16GB Memory - 256GB Solid State Drive",Razer,RZ09-03100EM1-R3U1,White,Yes,13.3 inches,1920 x 1080 (Full HD),No,Widescreen LCD,SSD,16 gigabytes,LPDDR4,Intel Iris Plus Graphics,Integrated,Intel,1.3 gigahertz,Intel 10th Generation Core i7,i7-1065G7,Windows 10 Home,Yes,None,Lithium-polymer,0.6 inches,12 inches,8.3 inches,No,No,1 year,1 year,811659034373
489,Your price for this item is $869.99,Yes,17.3 inches,No,SSD,8 gigabytes,Other,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,,Lithium-polymer,"VivoBook Pro 17 17.3"" Laptop - Intel Core i7 - 8GB Memory - 512GB Solid State Drive",ASUS,N705FNES76,Gray,Yes,17.3 inches,1920 x 1080 (Full HD),No,Full HD Widescreen LED,SSD,8 gigabytes,DDR4 SDRAM,Other,Discrete,Intel,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,,Yes,None,Lithium-polymer,0.8 inches,16.2 inches,10.6 inches,No,No,1 year,1 year,192876252857
490,Your price for this item is $929.99,Yes,17.3 inches,No,SSD,8 gigabytes,NVIDIA GeForce GTX 1650,2.4 gigahertz,Intel 9th Generation Core i5,i5-9300H,Windows 10 Home,Lithium-ion,"17.3"" Gaming Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1650 - 256GB Solid State Drive",HP,PV17-CD0020NR,Black,Yes,17.3 inches,1920 x 1080 (Full HD),No,Full HD Widescreen LED,SSD,8 gigabytes,DDR4 SDRAM,NVIDIA GeForce GTX 1650,Discrete,Intel,2.4 gigahertz,Intel 9th Generation Core i5,i5-9300H,Windows 10 Home,Yes,None,Lithium-ion,1 inches,15.9 inches,11.1 inches,Yes,No,1 year,1 year,193808714085
491,"Your price for this item is $1,449.99",Yes,17.3 inches,No,SSD,16 gigabytes,NVIDIA GeForce GTX 1660 Ti,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,Lithium-ion,"Helios 300 17.3"" Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1660 Ti - 512GB Solid State Drive",Acer,PH317537777,Black,Yes,17.3 inches,1920 x 1080 (Full HD),No,Full HD Widescreen LED,SSD,16 gigabytes,DDR4 SDRAM,NVIDIA GeForce GTX 1660 Ti,Discrete,Intel,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,Yes,None,Lithium-ion,1 inches,15.9 inches,11 inches,No,No,2 years,2 years,193199278111
492,Your price for this item is $799.99,Yes,15.6 inches,Yes,SSD,12 gigabytes,AMD Radeon Vega 8,2 gigahertz,AMD 2nd Generation Ryzen 5,2500U,Windows 10 Home,Lithium-ion,"ENVY x360 2-in-1 15.6"" Touch-Screen Laptop - AMD Ryzen 5 - 12GB Memory - 256GB SSD",HP,15-CP0078NR,Silver,Yes,15.6 inches,1920 x 1080 (Full HD),Yes,Full HD Widescreen LED,SSD,12 gigabytes,DDR4 SDRAM,AMD Radeon Vega 8,Integrated,AMD,2 gigahertz,AMD 2nd Generation Ryzen 5,2500U,Windows 10 Home,Yes,None,Lithium-ion,0.7 inches,14.1 inches,9.7 inches,Yes,No,1 year,1 year,193905951857
493,Your price for this item is $799.99,Yes,14 inches,Yes,SSD,8 gigabytes,Other,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,Lithium-ion,"Inspiron 2-in-1 14"" Touch-Screen Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive",Dell,I5482-7069SLV-PUS,Silver,Yes,14 inches,1920 x 1080 (Full HD),Yes,Full HD Widescreen LED,SSD,8 gigabytes,DDR4 SDRAM,Other,Integrated,Intel,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,Yes,None,Lithium-ion,0.8 inches,12.9 inches,9.2 inches,No,No,1 year,1 year,884116313069
494,Your price for this item is $999.99,Yes,13.3 inches,No,SSD,8 gigabytes,Intel HD Graphics 620,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,Lithium-ion polymer,"Blade Stealth 13.3"" Gaming Laptop - Intel Core i7- 8GB Memory - 256GB Solid State Drive",Razer,RZ09-02810E71-R3U1,Black,Yes,13.3 inches,1920 x 1080 (Full HD),No,Full HD Widescreen LED,SSD,8 gigabytes,LPDDR3,Intel HD Graphics 620,Integrated,Intel,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,Yes,None,Lithium-ion polymer,0.58 inches,8.27 inches,11.9 inches,No,No,1 Year,1 Year,811254028647
495,"Your price for this item is $1,476.99",Yes,17.3 inches,No,SSD,16 gigabytes,NVIDIA GeForce RTX 2060,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,Lithium-ion,"GL75 9SEK 17.3"" Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 512GB Solid State Drive",MSI,GL75 9SEK-056,Black,Yes,17.3 inches,1920 x 1080 (Full HD),No,Full HD Widescreen LED,SSD,16 gigabytes,DDR4 SDRAM,NVIDIA GeForce RTX 2060,Discrete,Intel,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,Yes,None,Lithium-ion,1 inches,15.6 inches,10 inches,No,No,1 year,1 year,824142194027
496,Your price for this item is $449.99,Yes,13.3 inches,No,SSD,4 gigabytes,Intel HD Graphics 4000,2.3 gigahertz,Intel 2nd Generation Core i5,i5-2415M,Mac OS,Lithium-polymer,"MacBook Pro 13.3"" Laptop - Intel Core i5 - 4GB Memory - 500GB SSD - Pre-Owned",Apple,MC700LL/A-4GB-500SSD,Silver,Yes,13.3 inches,1280 x 800 (WXGA),No,Widescreen LED,SSD,4 gigabytes,DDR3L SDRAM,Intel HD Graphics 4000,Integrated,Intel,2.3 gigahertz,Intel 2nd Generation Core i5,i5-2415M,Mac OS,Yes,DVD+RW DL,Lithium-polymer,0.9 inches,12.8 inches,8.9 inches,Yes,No,Not Available,Not Available,740844197855
497,"Your price for this item is $1,099.99",Yes,15.6 inches,No,SSD,8 gigabytes,NVIDIA GeForce GTX 1660 Ti,2.4 gigahertz,Intel 9th Generation Core i5,i5-9300H,Windows 10 Home,Lithium-ion,"GL65 9SD 15.6"" Gaming Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1660 Ti - 512GB Solid State Drive",MSI,GL65 9SD-027,Black,Yes,15.6 inches,1920 x 1080 (Full HD),No,Full HD Widescreen LED,SSD,8 gigabytes,DDR4 SDRAM,NVIDIA GeForce GTX 1660 Ti,Discrete,Intel,2.4 gigahertz,Intel 9th Generation Core i5,i5-9300H,Windows 10 Home,Yes,None,Lithium-ion,1.1 inches,14.1 inches,9.8 inches,No,No,1 year,1 year,824142194256
498,Your price for this item is $499.99,Yes,17.3 inches,No,HDD,8 gigabytes,Other,2.7 gigahertz,AMD A12,A12-9720P,Windows 10 Home,Lithium-ion,"17.3"" Gaming Laptop - AMD A12-Series - 8GB Memory - AMD Radeon R7 - 1TB Hybrid Hard Drive",ASUS,F705QADS99,Gray,Yes,17.3 inches,1600 x 900 (HD+),No,Widescreen LED,HDD,8 gigabytes,DDR4 SDRAM,Other,Integrated,AMD,2.7 gigahertz,AMD A12,A12-9720P,Windows 10 Home,Yes,None,Lithium-ion,0.9 inches,16.2 inches,10.6 inches,No,No,1 year,1 year,192876244401
499,Your price for this item is $517.99,No,15.6 inches,Yes,SSD,8 gigabytes,Other,2.6 gigahertz,AMD 2nd Generation Ryzen 3,3200U,Windows 10 Home,Lithium-ion,"15.6"" Touch-Screen Laptop - AMD Ryzen 3 - 8GB Memory - 128GB Solid State Drive",HP,15-DB1030NR,Gray,No,15.6 inches,1366 x 768 (HD),Yes,Touchscreen Widescreen LED-LCD,SSD,8 gigabytes,DDR4 SDRAM,Other,Integrated,AMD,2.6 gigahertz,AMD 2nd Generation Ryzen 3,3200U,Windows 10 Home,Yes,DVD-RW,Lithium-ion,0.9 inches,14.8 inches,9.7 inches,Yes,No,1 year,1 year,193424600694
500,Your price for this item is $959.99,Yes,15.6 inches,Yes,SSD,12 gigabytes,Intel UHD Graphics 620,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,Lithium-ion,"Inspiron 15.6"" Touch-Screen Laptop - Intel Core i7 - 12GB Memory - 512GB Solid State Drive",Dell,I5584-7773SLV-PUS,Silver,Yes,15.6 inches,1920 x 1080 (Full HD),Yes,Full HD Widescreen LED,SSD,12 gigabytes,DDR4 SDRAM,Intel UHD Graphics 620,Integrated,Intel,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,Yes,None,Lithium-ion,0.9 inches,14.3 inches,9.8 inches,Yes,No,1 year,1 year,884116315773
501,Your price for this item is $269.99,No,12.5 inches,No,SSD,8 gigabytes,Intel HD Graphics,1.9 gigahertz,Intel 4th Generation Core i5,i5-4300U,Windows 10 Pro,Lithium-ion,"ThinkPad X240 12.5"" Refurbished Laptop - Intel Core i5 - 8GB Memory - 180GB Solid State Drive",Lenovo,X240.I5.8.180SSD.PRO,Black,No,12.5 inches,1366 x 768 (HD),No,Widescreen LCD,SSD,8 gigabytes,Not provided,Intel HD Graphics,Integrated,Intel,1.9 gigahertz,Intel 4th Generation Core i5,i5-4300U,Windows 10 Pro,No,None,Lithium-ion,,,,No,No,18 months,18 months,841631129513
502,Your price for this item is $159.99,No,11.6 inches,No,eMMC,4 gigabytes,Intel HD Graphics 500,1.1 gigahertz,Intel Celeron,N3350,Chrome OS,Lithium-ion,"11.6"" Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory",ASUS,C223NA-DH02,Gray,No,11.6 inches,1366 x 768 (HD),No,Widescreen LED,eMMC,4 gigabytes,Not provided,Intel HD Graphics 500,Integrated,Intel,1.1 gigahertz,Intel Celeron,N3350,Chrome OS,Yes,None,Lithium-ion,0.7 inches,11.3 inches,7.8 inches,Yes,No,1 year,1 year,192876250242
503,Your price for this item is $899.99,Yes,14 inches,No,SSD,8 gigabytes,Intel UHD Graphics 620,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10,Lithium-ion,"ZenBook 14"" Laptop - Intel Core i7 - 8GB Memory - 512GB Solid State Drive",ASUS,UX431FAES74,Silver,Yes,14 inches,1920 x 1080 (Full HD),No,LCD,SSD,8 gigabytes,LPDDR3,Intel UHD Graphics 620,Integrated,Intel,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10,Yes,None,Lithium-ion,0.6 inches,12.7 inches,8.3 inches,Yes,No,1 Year,1 Year,192876184912
504,"Your price for this item is $2,199.99",Yes,15.6 inches,No,SSD,32 gigabytes,NVIDIA Quadro T2000,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Pro,Lithium-polymer,"WS65 9TJ 15.6"" Laptop - Intel Core i7 - 32GB Memory - 512GB Solid State Drive",MSI,WS65 9TJ-003,Black,Yes,15.6 inches,1920 x 1080 (Full HD),No,Full HD Widescreen LED,SSD,32 gigabytes,DDR4 SDRAM,NVIDIA Quadro T2000,Discrete,Intel,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Pro,Yes,None,Lithium-polymer,0.7 inches,14.1 inches,9.8 inches,No,No,3 years,3 years,824142186732
505,Your price for this item is $947.99,No,14 inches,No,SSD,8 gigabytes,NVIDIA GeForce MX130,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Pro,Lithium-ion,"Latitude 14"" Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive",Dell,LATI3400YHXR9,Black,No,14 inches,1920 x 1080 (Full HD),No,LCD,SSD,8 gigabytes,DDR4,NVIDIA GeForce MX130,"Discrete, Integrated",Intel,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Pro,Yes,None,Lithium-ion,0.76 inches,13 inches,9.37 inches,Yes,Yes,1 Year,1 Year,884116336563
506,"Your price for this item is $1,299.99",Yes,12 inches,No,SSD,8 gigabytes,Intel HD Graphics 615,1.2 gigahertz,Intel Core m3,Intel Core m3,Mac OS,Lithium-polymer,"MacBook 12"" Retina Display - Intel Core m3 - 8GB Memory - 256GB Flash Storage",Apple,MRQN2LL/A,Gold,Yes,12 inches,2304 x 1440,No,LED,SSD,8 gigabytes,LPDDR3,Intel HD Graphics 615,Integrated,Intel,1.2 gigahertz,Intel Core m3,Intel Core m3,Mac OS,Yes,None,Lithium-polymer,0.52 inches,11.04 inches,7.74 inches,Yes,Yes,1 Year,1 Year,190198733542
507,Your price for this item is $989.99,Yes,15.6 inches,No,SSD,12 gigabytes,Other,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,Lithium-ion,"VivoBook S15 15.6"" Laptop - Intel Core i7 - 12GB Memory - 512GB Solid State Drive",ASUS,S532FLDB77,Silver,Yes,15.6 inches,1920 x 1080 (Full HD),No,Full HD Widescreen LED,SSD,12 gigabytes,DDR4 SDRAM,Other,Discrete,Intel,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,Yes,None,Lithium-ion,0.7 inches,14.1 inches,9.1 inches,No,No,1 year,1 year,192876339411
508,"Your price for this item is $1,149.99",No,14 inches,No,SSD,8 gigabytes,Intel UHD Graphics 620,1.6 gigahertz,Intel 8th Generation Core i5,i5-8265U,Windows 10 Pro,Lithium-ion,"ThinkPad T490 14"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive",Lenovo,20N20008US,Black,No,14 inches,1366 x 768 (HD),No,LCD,SSD,8 gigabytes,DDR4,Intel UHD Graphics 620,Integrated,Intel,1.6 gigahertz,Intel 8th Generation Core i5,i5-8265U,Windows 10 Pro,Yes,None,Lithium-ion,0.7 inches,13 inches,8.94 inches,Yes,Yes,3 Years,3 Years,193386266556
