Price,Screen Size,Processor,RAM,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Wireless Type,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Brand Name,Series,Item model number,Operating System,Item Weight,Product Dimensions,Item Dimensions L x W x H,Color,Processor Brand,Processor Count,Computer Memory Type,Flash Memory Size,Hard Drive Interface,Hard Drive Rotational Speed,Optical Drive Type,Batteries,Average Battery Life (in hours),Hardware Platform,Rear Webcam Resolution,Power Source,Voltage,Memory Speed,California residents,Graphics Card Ram Size,National Stock Number,Package Dimensions,Audio-out Ports (#),Battery Type,Screen Resolution Width,Screen Resolution Height
549.99,10.5,2.84 GHz,128 GB,128 GB,Adreno 640,,Integrated,"802.11a/b/g/n/ac"", 2.4 GHz Radio Frequency, 5 GHz Radio Frequency,"" Bluetooth",,1.0,Samsung,"Samsung Galaxy Tab S6 10.5""""",SM-T860NZAAXAR,Android,1.55 pounds,0.2 x 6.3 x 9.6 inches,0.22 x 6.28 x 9.63 inches,Mountain Gray,Qualcomm,,,128 GB,,,,1 Lithium Polymer batteries required. (included),10 hours,Android,12 MP,Battery,,,,,SM-T860NZAAXAR,,,,2560,1600
799.0,12.3,8032,128 GB,,Intel Iris Plus Graphics,Intel,Integrated,,,,Microsoft,Surface Pro,QWU-00001,Windows 10 Home,1.06 pounds,12.8 x 2.7 x 9.2 inches,12.8 x 2.68 x 9.21 inches,Platinum,Intel,1.0,,128 GB,,,,1 Lithium ion batteries required. (included),13 hours,,8 MP,,,,,,,,,,2736,1824
599.99,15.6,3.7 GHz AMD R Series,8 GB DDR4,256 GB Flash Memory Solid State,NVIDIA GeForce GTX 1650,NVIDIA,Dedicated,"802.11a/b/g/n/ac"","" Bluetooth",1.0,2.0,ASUS,TUF FX505DT,FX505DT-AH51,Windows 10 Home,4.85 pounds,14.2 x 10.3 x 1 inches,14.2 x 10.3 x 1 inches,,AMD,4.0,DDR4 SDRAM,256.00,Solid State,10000 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),,PC,,,,2666 MHz,,4 GB,,,,,1920,1080
129.0,11.6,1.6 GHz Intel Celeron,2 GB,16 GB Flash Memory Solid State,Intel HD Graphics 400,Intel,Integrated,802.11g,1.0,1.0,Samsung,Samsung Chromebook,XE500C13-K05US,Chrome OS,2.43 pounds,11.4 x 8 x 0.7 inches,11.37 x 8.04 x 0.7 inches,Black,Intel,2.0,,16.0,Solid State,,No Optical Drive,1 Lithium Polymer batteries required. (included),11 hours,Chrome,,,,,,1,,,,,1366,768
185.0,11.6,2.48 GHz Celeron N3060,4 GB DDR3L,32 GB emmc,Intel HD Graphics 400,Intel,Integrated,802.11ac,1.0,1.0,Acer,Acer Chromebook,NX.G55AA.010,Chrome OS,2.76 pounds,8 x 11.6 x 0.8 inches,8.03 x 11.57 x 0.78 inches,,Intel,2.0,DDR3 SDRAM,32.00,Solid State,,No Optical Drive,1 Lithium Polymer batteries required. (included),10 hours,,,,,,,,,,,,1366,768
319.83,14.0,2.4 GHz Intel Core i3,8 GB,1 TB 128 GB M.2 SSD,2.4 GHz Intel Core i3,,Integrated,"802.11b/g"", 802.11bgn,"" 802.11b",1.0,1.0,HP,HP,14-CF0014DX,Windows 10,4.35 pounds,32.4 x 22.6 x 2 inches,32.4 x 22.6 x 2 inches,,Intel,2.0,DDR4 SDRAM,128.0,,,No Optical Drive,1 Lithium Metal batteries required. (included),,PC,,,,8 GHz,,,,,,,1366,768
340.0,14.0,3.9 GHz Core i3 Family,4 GB DDR4,128 GB 128GB m.2 PCIe Solid State Drive,,Intel,Integrated,802.11ac,1.0,2.0,Dell,i5481-3595GRY-PUS,na,Windows 10 Home,2.87 pounds,9.2 x 13.2 x 0.8 inches,9.17 x 13.22 x 0.8 inches,,Intel,1.0,DDR4 SDRAM,4.00,Solid State,5400 RPM,No Optical Drive,1 Lithium Polymer batteries required.,,Windows,,,,,,,,,,,1920,1080
364.0,15.6,2.7 GHz 80486DX2,8 GB DDR,256 GB SSD,Intel HD Graphics 620,Intel,Integrated,"802.11b/g"", 802.11bgn,"" 802.11b",2.0,2.0,Dell,Dell I3567,Dell I3567,Windows 10,4.85 pounds,,,Black,Intel,2.0,SODIMM,256.00,Solid State,12 RPM,BD-R,1 Lithium Polymer batteries required.,,PC,,AC & Battery,,2133 MHz,,,,19.5 x 13.7 x 3 inches,,,1366,768
999.99,15.6,3 GHz Intel Core i7,16 GB DDR4,1 TB Mechanical Hard Drive,NVIDIA Geforce GTX 1660 Ti 6GB,,Dedicated,,2.0,2.0,iBUYPOWER,Element 9260,Element 9260,Windows 10 Home,32 pounds,,,black,Intel,,DDR4 SDRAM,240.00,Serial ATA,7200 RPM,None,,,PC,,,,,,6 GB,,22 x 20.5 x 12.8 inches,,,1920,1080
140.0,11.6,1.6 GHz Celeron N3060,4 GB SDRAM,emmc,intel,intel,Integrated,802.11ac,,,Dell,Dell Regular 11 chromebook,dell chromebook 11,Chrome OS,4.41 pounds,11 x 8 x 0.8 inches,11 x 8 x 0.8 inches,Black,Intel,2.0,DDR3L-1600 SDRAM,16 GB,,,,1 Lithium Polymer batteries required. (included),,PC,,AC & Battery,,,,,,,,,1366,768
684.99,15.6,1.6 GHz Intel Core i5,16 GB DDR4,512 GB SSD,Intel UHD Graphics 620,Intel,Integrated,"802.11ac"","" Bluetooth",1.0,,Lenovo,E590 Notebook PC,E590 Business Laptop,Windows 10 Pro,4.7 pounds,9.9 x 14.5 x 0.8 inches,9.92 x 14.53 x 0.78 inches,Black,Intel,4.0,DDR4 SDRAM,512 GB,PCIE x 4,,,1 Lithium ion batteries required. (included),12.23 hours,PC,720 pixels,AC & Battery,,,,,,,,,1366,768
