Price,Backlit Keyboard,Screen Size,Touch Screen,Storage Type,System Memory (RAM),Graphics,Processor Speed (Base),Processor Model,Processor Model Number,Operating System,Battery Type,Product Name,Brand,Model Number,Color Category,Feature__Backlit Keyboard,Display__Screen Size,Screen Resolution,Display__Touch Screen,Display Type,Storage__Storage Type,Memory__System Memory (RAM),Type of Memory (RAM),Graphics__Graphics,Graphics Type,Processor Brand,Processor__Processor Speed (Base),Processor__Processor Model,Processor__Processor Model Number,Compatibility__Operating System,Built-In Webcam,Optical Drive Type,Power__Battery Type,Product Height,Product Width,Product Depth,ENERGY STAR Certified,EPEAT Qualified,Manufacturer's Warranty - Parts,Manufacturer's Warranty - Labor,UPC
129.0,False,11.6 inches,False,eMMC,4 gigabytes,Intel HD Graphics,1.6 gigahertz,Intel Celeron,N3060,Chrome OS,Lithium-ion,"11.6"" Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory",Samsung,XE501C13-K02US,Black,False,11.6 inches,1366 x 768 (HD),False,Widescreen LED,eMMC,4 gigabytes,LPDDR3,Intel HD Graphics,Integrated,Intel,1.6 gigahertz,Intel Celeron,N3060,Chrome OS,True,None,Lithium-ion,0.7 inches,11.4 inches,8.1 inches,True,False,1 year,1 year,887276269436
1099.99,True,13.3 inches,False,SSD,8 gigabytes,Intel Iris Plus Graphics 645,1.4 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,Lithium-polymer,"MacBook Pro - 13"" Display with Touch Bar - Intel Core i5 - 8GB Memory - 128GB SSD (Latest Model)",Apple,MUHN2LL/A,Space Gray,True,13.3 inches,2560 x 1600 (Retina),False,LCD,SSD,8 gigabytes,LPDDR3,Intel Iris Plus Graphics 645,Integrated,Intel,1.4 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,True,None,Lithium-polymer,0.59 inches,12 inches,8.36 inches,True,True,1 Year,1 Year,190198947833
499.99,False,15.6 inches,True,SSD,12 gigabytes,Intel UHD Graphics 620,1.6 gigahertz,Intel 8th Generation Core i5,i5-8265U,Windows 10 Home in S mode,Lithium-ion,"15.6"" Touch-Screen Laptop - Intel Core i5 - 12GB Memory - 256GB SSD + Optane",HP,15-DY0013DX,Silver,False,15.6 inches,1366 x 768 (HD),True,Touchscreen Widescreen LED-LCD,SSD,12 gigabytes,DDR4 SDRAM,Intel UHD Graphics 620,Integrated,Intel,1.6 gigahertz,Intel 8th Generation Core i5,i5-8265U,Windows 10 Home in S mode,True,None,Lithium-ion,0.71 inches,14.11 inches,9.53 inches,True,False,1 year,1 year,193905272822
499.99,False,15.6 inches,False,SSD,12 gigabytes,Intel UHD Graphics 620,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,Lithium-ion,"VivoBook 15 15.6"" Laptop - Intel Core i7 - 12GB Memory - 256GB Solid State Drive",ASUS,X512FA-BI7A,Silver,False,15.6 inches,1920 x 1080 (Full HD),False,Full HD Widescreen LED,SSD,12 gigabytes,DDR4 SDRAM,Intel UHD Graphics 620,Integrated,Intel,1.8 gigahertz,Intel 8th Generation Core i7,i7-8565U,Windows 10 Home,True,None,Lithium-ion,0.8 inches,14.1 inches,9.1 inches,False,False,1 year,1 year,192876433584
1099.99,True,17.3 inches,False,"SSD, HDD",16 gigabytes,NVIDIA GeForce RTX 2060,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,Lithium-ion,"17.3"" Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB Hard Drive + 256GB SSD",Dell,G7790-7152GRY-PUS,Gray,True,17.3 inches,1920 x 1080 (Full HD),False,Widescreen LCD,"SSD, HDD",16 gigabytes,DDR4 SDRAM,NVIDIA GeForce RTX 2060,Discrete,Intel,2.6 gigahertz,Intel 9th Generation Core i7,i7-9750H,Windows 10 Home,True,None,Lithium-ion,1 inches,15.9 inches,11.6 inches,True,False,1 year,1 year,884116316152
299.0,False,10 inches,False,,,,,Intel Pentium Gold 4415Y,,Windows 10 Home in S mode,Lithium-ion,"Surface Go - 10"" Touch-Screen - Intel Pentium Gold - 4GB Memory - 64GB Storage",Microsoft,MHN-00001,Silver,False,10 inches,1800 x 1200,False,LCD,,,,,,,,,,Windows 10 Home in S mode,False,,Lithium-ion,0.33 inches,9.65 inches,6.9 inches,True,False,1-year limited hardware,1 Year,889842284188
1499.99,True,13.3 inches,False,SSD,8 gigabytes,Intel Iris Plus Graphics 655,2.4 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,Lithium-polymer,"MacBook Pro - 13"" Display with Touch Bar - Intel Core i5 - 8GB Memory - 256GB SSD",Apple,MV962LL/A,Space Gray,True,13.3 inches,2560 x 1600 (Retina),False,LED,SSD,8 gigabytes,LPDDR3,Intel Iris Plus Graphics 655,Integrated,Intel,2.4 gigahertz,Intel 8th Generation Core i5,Intel 8th Generation Core i5,Mac OS,True,None,Lithium-polymer,0.59 inches,11.97 inches,8.36 inches,True,True,1 Year,1 Year,190199112216
2399.99,True,15.4 inches,False,SSD,16 gigabytes,AMD Radeon Pro 560X,2.3 gigahertz,Intel 9th Generation Core i9,Intel 9th Generation Core i9,Mac OS,Lithium-polymer,"MacBook Pro 15.4"" Display with Touch Bar - Intel Core i9 - 16GB Memory - AMD Radeon Pro 560X - 512GB SSD",Apple,MV912LL/A,Space Gray,True,15.4 inches,2880 x 1800 (Retina),False,LED,SSD,16 gigabytes,DDR4,AMD Radeon Pro 560X,Discrete,Intel,2.3 gigahertz,Intel 9th Generation Core i9,Intel 9th Generation Core i9,Mac OS,True,None,Lithium-polymer,0.61 inches,13.8 inches,9.48 inches,True,True,1 Year,1 Year,190199113589
189.0,False,15.6 inches,False,eMMC,4 gigabytes,Intel HD Graphics,1.04 gigahertz,Intel Atom,E8000,Chrome OS,Lithium-polymer,"15.6"" Chromebook - Intel Atom x5 - 4GB Memory - 16GB eMMC Flash Memory",Acer,CB3-532-108H,Gray,False,15.6 inches,1366 x 768 (HD),False,Widescreen LED,eMMC,4 gigabytes,LPDDR3,Intel HD Graphics,Integrated,Intel,1.04 gigahertz,Intel Atom,E8000,Chrome OS,True,None,Lithium-polymer,1 inches,15.1 inches,10.1 inches,False,False,1 year,1 year,193199060792
99.0,False,11.6 inches,False,eMMC,2 gigabytes,Intel HD Graphics,1.6 gigahertz,Intel Celeron,N3060,Chrome OS,Lithium-ion,"11.6"" Chromebook - Intel Celeron - 2GB Memory - 16GB eMMC Flash Memory",Samsung,XE501C13-K01US,Black,False,11.6 inches,1366 x 768 (HD),False,Widescreen LED,eMMC,2 gigabytes,LPDDR3,Intel HD Graphics,Integrated,Intel,1.6 gigahertz,Intel Celeron,N3060,Chrome OS,True,None,Lithium-ion,0.7 inches,11.4 inches,8.1 inches,True,False,1 year,1 year,887276269429
1149.99,True,13.9 inches,True,SSD,16 gigabytes,Intel HD Graphics 620,1.8 gigahertz,Intel 8th Generation Core i7,i7-8550U,Windows 10 Home,Lithium-polymer,"Yoga C930 2-in-1 13.9"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive",Lenovo,81C4000EUS,Silver,True,13.9 inches,3840 x 2160 (4K),True,Touchscreen Widescreen LED-LCD,SSD,16 gigabytes,DDR4,Intel HD Graphics 620,Integrated,Intel,1.8 gigahertz,Intel 8th Generation Core i7,i7-8550U,Windows 10 Home,True,None,Lithium-polymer,0.57 inches,8.93 inches,12.6 inches,False,False,3 Years,1 Year,192651841962
89.0,False,11.6 inches,False,eMMC,2 gigabytes,None,1.04 gigahertz,Intel Atom,E8000,Chrome OS,Lithium-ion,"11.6"" Chromebook - Intel Atom x5 - 2GB Memory - 16GB eMMC Flash Memory",Samsung,XE501C13-S01US,Black,False,11.6 inches,1366 x 768 (HD),False,Widescreen LED,eMMC,2 gigabytes,LPDDR3,None,None,Intel,1.04 gigahertz,Intel Atom,E8000,Chrome OS,True,None,Lithium-ion,0.7 inches,11.4 inches,8.1 inches,True,False,1 year,1 year,887276361499
479.99,False,15.6 inches,True,HDD,12 gigabytes,AMD Radeon Vega 8,2.1 gigahertz,AMD 2nd Generation Ryzen 5,3500U,Windows 10 Home in S mode,Lithium-ion,"S340-15API Touch 15.6"" Touch-Screen Laptop - AMD Ryzen 5 - 12GB Memory - 1TB Hard Drive",Lenovo,81QG0007US,Gray,False,15.6 inches,1920 x 1080 (Full HD),True,Full HD Widescreen LED,HDD,12 gigabytes,DDR4 SDRAM,AMD Radeon Vega 8,Integrated,AMD,2.1 gigahertz,AMD 2nd Generation Ryzen 5,3500U,Windows 10 Home in S mode,True,None,Lithium-ion,0.7 inches,14.1 inches,9.6 inches,True,False,1 year,1 year,193386908173
699.99,True,15.6 inches,True,SSD,8 gigabytes,Intel UHD Graphics,1.6 gigahertz,Intel 10th Generation Core i5,i5-10210U,Windows 10 Home,Lithium-ion,"Inspiron 15.6"" 7000 2-in-1 Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 512GB SSD + 32GB Optane",Dell,I7591-5476SLV-PUS,Silver,True,15.6 inches,1920 x 1080 (Full HD),True,Touchscreen Widescreen LCD,SSD,8 gigabytes,DDR4 SDRAM,Intel UHD Graphics,Integrated,Intel,1.6 gigahertz,Intel 10th Generation Core i5,i5-10210U,Windows 10 Home,True,None,Lithium-ion,0.7 inches,14.1 inches,9.8 inches,True,False,1 year,1 year,884116360476
949.99,True,17.3 inches,True,SSD,12 gigabytes,NVIDIA GeForce MX250,1.8 gigahertz,Intel 10th Generation Core i7,i7-10510U,Windows 10 Home,Lithium-ion,"Envy 17.3"" Touch-Screen Laptop - Intel Core i7 - 12GB Memory - NVIDIA GeForce MX250 - 512GB SSD + Optane",HP,17M-CE1013DX,Silver,True,17.3 inches,1920 x 1080 (Full HD),True,Full HD Widescreen LED,SSD,12 gigabytes,DDR4 SDRAM,NVIDIA GeForce MX250,Discrete,Intel,1.8 gigahertz,Intel 10th Generation Core i7,i7-10510U,Windows 10 Home,True,DVD-RW,Lithium-ion,0.9 inches,15.9 inches,10.5 inches,True,False,1 year,1 year,193905587193
