"Price	Screen Size	Max Screen Resolution	Processor	RAM	Hard Drive	Graphics Coprocessor	Chipset Brand	Card Description	Wireless Type	Number of USB 2.0 Ports	Number of USB 3.0 Ports	Brand Name	Series	Item model number	Operating System	Item Weight	Product Dimensions	Item Dimensions L x W x H	Color	Processor Brand	Processor Count	Computer Memory Type	Flash Memory Size	Hard Drive Interface	Hard Drive Rotational Speed	Optical Drive Type	Batteries	Screen Resolution	Average Battery Life (in hours)	Hardware Platform	Rear Webcam Resolution	Power Source	Voltage	Memory Speed	California residents	Graphics Card Ram Size	National Stock Number	Package Dimensions	Audio-out Ports (#)	Battery Type",,,,,,
"$999.99	13.5 inches		1.2 GHz Intel Core i5	8 GB LPDDR4	256 GB Flash Memory Solid State		Intel	Integrated			2	Microsoft	Surface Laptop	V4C-00064	Windows 10 Home	3.4 pounds			Sandstone	Intel	4		256	Solid State	7200	No Optical Drive	1 Lithium ion batteries required. (included)											13.8 x 10.1 x 3.2 inches		",,,,,,
"$485.00	1 inches		3.5 GHz Ryzen 3 2200G	8 GB DDR4	1000 GB Mechanical Hard Drive	AMD Radeon RX 550		Dedicated	802.11a", 802.11b," 802.11g	2		HP	Pavilion 690-0010	690-0010	Windows 10 Home	11 pounds	11 x 6.7 x 13.3 inches	11.02 x 6.69 x 13.3 inches	black	AMD	4	GDDR5	8	Serial ATA	7200 RPM	DVD-RW				PC				2666 MHz		4 GB				",,,,
$1 ,"499.00	14 inches	1920 x 1080 pixels	1.8 GHz Core i7-860	16 GB DDR4	512 GB Flash Memory Solid State	Intel HD Graphics 620	Intel	Integrated	802.11ac		2	LG	LG gram	14T990-U.AAS8U1	Windows 10 Home	4.41 pounds	14.3 x 9.9 x 0.7 inches	14.3 x 9.9 x 0.7 inches	Silver	Intel	1	DDR4 SDRAM	16	Solid State	2400 RPM	No Optical Drive	1 Lithium ion batteries required. (included)			PC", PC," PC						128 MB				",,,
"$248.10	14 inches	1366 x 768	2.3 GHz Pentium Other	4 GB	128 GB flash_memory_solid_state	Graphics 610	intel	integrated				HP	14-cf0012dx	14-cf0012dx	Windows 10	4.41 pounds	17.6 x 11.8 x 2.8 inches	17.6 x 11.8 x 2.8 inches		Intel	2	DDR4 SDRAM					1 Lithium ion batteries required. (included)			Mac										",,,,,,
"$782.24	15.6 inches	1920 x 1080 pixels	4.6 GHz Core i7 Family	12 GB DDR4	512 GB flash_memory_solid_state		Intel	Dedicated	801.11ac	1	3	Acer	A515-5G-73WC	A515-5G-73WC	Windows 10 Home	3.97 pounds	14.3 x 9.9 x 0.7 inches	14.31 x 9.88 x 0.71 inches	Black	Intel	4	DDR4 SDRAM	512.00			No Optical Drive	1 Lithium ion batteries required. (included)									2 GB				",,,,,,
"$159.99	14.1 inches	1920 x 1080	Intel Celeron	4 GB								Evoo			Windows 10 Home	4.2 pounds				Intel	2						1 Lithium ion batteries required. (included)											14.4 x 9.9 x 2.8 inches		",,,,,,
"$444.99	15.6 inches	1920 x 1080	2.3 GHz Intel Pentium Dual-Core	4 GB DDR4	64 GB Flash Memory Solid State		Intel	Integrated	802.11ac			HP	HP Chromebook 15-de0010nr	6JA25UA#ABA	Chrome OS	3.99 pounds	9.7 x 14.1 x 0.7 inches	9.69 x 14.11 x 0.7 inches		Intel	2	DDR4 SDRAM	64.00	Serial ATA	0.01 RPM	No Optical Drive	1 Lithium Polymer batteries required. (included)		13 hours											",,,,,,
"$160.00	11.6 inches	1366 x 768 (HD)	1.1 GHz Intel Celeron	4 GB	32 GB emmc	Intel	Intel® UHD Graphics 600	Integrated				ASUS	E2O3MA-TBCL432B	TBCL432B	Windows 10	2.18 pounds	11.3 x 7.6 x 0.7 inches	11.3 x 7.6 x 0.7 inches		Intel	4	DDR SDRAM	32 GB	Solid State			1 Lithium Polymer batteries required.	1366 x 768 (HD)		PC		AC & Battery								",,,,,,
"$149.99		3840*2160@30Hz	1.92 GHz Intel Atom	4 GB SDRAM DDR3	64 GB Intel HD Graphics 400	Intel HD Graphics 400		integrated	802.11abg"," 802.11n	2		COOFUN			Windows 10 Professional	1.1 pounds				Intel	4	DDR3 SDRAM		USB 2.0						PC		DC						9.7 x 5.2 x 1.9 inches		",,,,,
"$119.99	10.1 inches	1280 x 800	1.5 GHz	2 GB	64 GB	Mali-G31MP2			802.11bgn	1		vankyo	MatrixPad	Z4 Pro	Android 9 Pie	1.2 pounds	9.8 x 6.7 x 0.3 inches	9.8 x 6.7 x 0.3 inches	Black	Rockchip	4	DDR3 SDRAM	64 GB	FC-AL-2			1 Lithium ion batteries required. (included)	1280 x 800	8 hours	Android 9.0 Pie	8 MP	DC								",,,,,,
"$389.98	0.1 inches	1 pixels	3.2 GHz AMD R Series	8 GB DDR4	Flash Memory Solid State			Integrated			6	HP	ProDesk 405 G4	6VC52UT#ABA	Windows 10 Professional	6.05 pounds	2 x 4 x 8 inches	2 x 4 x 8 inches		AMD	1		256.00	Serial ATA-600	1 RPM	None										1 GB				",,,,,,
"$209.00	13.3 inches	1920*1080	1.3 GHz Intel Celeron D	6 GB	64 GB emmc	Intel HD Graphics 500	Intel	Integrated				jumper	EZbook X3	B07P6NRTNW	Windows 10	4.95 pounds	12.4 x 8.2 x 0.7 inches	12.4 x 8.19 x 0.72 inches	black	Intel	4	DDR3 SDRAM	128 GB				1 Lithium Polymer batteries required.			PC		DC								",,,,,,
$1 ,"049.00			2.7 GHz Intel Core i7	16 GB SO-DIMM	512 GB SSD	Intel Iris Plus Graphics 655	Intel		802.11ac			Cravings	NUC		Windows 10	2.85 pounds	4.4 x 4.6 x 2 inches	4.4 x 4.6 x 2.01 inches	Black	Intel	4	SODIMM	512 GB	Solid State						PC										",,,,,
$1 ,"749.99	15.6 inches	1920 x 1080 pixels	4.5 GHz Intel Core i7	16 GB DDR4	1 TB Flash Memory Solid State	NVIDIA GeForce RTX 2070 Max-Q	NVIDIA	Dedicated	802.11b/n/ac"," Bluetooth		4	ASUS	ROG Zephyrus M GU502GW	GU502GW-AH76	Windows 10 Home	4.39 pounds	14.2 x 9.9 x 0.8 inches	14.17 x 9.92 x 0.78 inches		Intel	8	DDR4 SDRAM	1.00	Solid State	10000 RPM	No Optical Drive	1 Lithium Polymer batteries required. (included)			PC				2666 MHz		8 GB				",,,,
"$799.00	23.8 inches		3.5 GHz Intel Core i5	8 GB ddr4_sdram	2 TB	Intel UHD Graphics 620		dedicated	802.11ac	1		Dell			Windows 10	10.18 pounds	21.6 x 14.1 x 1.6 inches	21.61 x 14.1 x 1.63 inches	White	Intel		GDDR4		Serial ATA	5400.00		4 AAA batteries required. (included)			PC										",,,,,,
"$799.00	17.3 inches	1920x1080	2.3 GHz AMD R Series	8 GB	512 GB PCIe SSD	NVIDIA GeForce GTX 1650 4GB GDDR5	nvidia	dedicated	802.11abg", 802.11a/b/g/n/ac, 802.11ac, 802.11a/b/g/n," 802.11a			ASUS	TUF Gaming	TUF Gaming	Windows 10	5.73 pounds	15.7 x 11 x 1.1 inches	15.7 x 11 x 1.1 inches		AMD	4	DDR4 SDRAM	512 GB	PCIE x 4			1 Lithium Polymer batteries required. (included)	1920x1080	5 hours	PC										",,
"$640.00	15.6 inches	1920 x 1080	2.1 GHz AMD R Series	8 GB	256 GB flash_memory_solid_state	NVIDIA GeForce GTX 1050	nvidia	Dedicated				ASUS	FX505DD-DR5N6	FX505DD-DR5N6	Windows 10	5.93 pounds	14.2 x 10.3 x 1.1 inches	14.2 x 10.3 x 1.1 inches		AMD	2	DDR DRAM	256 GB	Solid State			1 Lithium Polymer batteries required.			PC										",,,,,,
