"Price	Screen Size	Max Screen Resolution	Processor	RAM	Hard Drive	Graphics Coprocessor	Chipset Brand	Card Description	Wireless Type	Number of USB 2.0 Ports	Number of USB 3.0 Ports	Brand Name	Series	Item model number	Operating System	Item Weight	Product Dimensions	Item Dimensions L x W x H	Color	Processor Brand	Processor Count	Computer Memory Type	Flash Memory Size	Hard Drive Interface	Hard Drive Rotational Speed	Optical Drive Type	Batteries	Screen Resolution	Average Battery Life (in hours)	Hardware Platform	Rear Webcam Resolution	Power Source	Voltage	Memory Speed	California residents	Graphics Card Ram Size	National Stock Number	Package Dimensions	Audio-out Ports (#)	Battery Type",,,,,,
"$560.00	15.6 inches	1920 x 1080	2.1 GHz Core i3-6100	8 GB	256 GB flash_memory_solid_state	Intel UHD Graphics 620	intel	Integrated	802.11ac			Lenovo	81QF0002US	NA	Windows 10	6.5 pounds				Intel	2	DDR DRAM	256 GB	Solid State			1 Lithium ion batteries required. (included)			PC								20 x 12.5 x 3 inches		",,,,,,
"$89.88	10 inches	1920 x 1080	1.5 GHz MTK 8121	4 GB DDR3_SDRAM	64 GB	Octa core			802.11b/g", 802.11bgn," 802.11b			TenYiDe	tablet-108-silver	tablet-108	Android 7.0 Nougat	1.76 pounds	9.4 x 6.7 x 0.3 inches	9.45 x 6.69 x 0.31 inches	Metallic black		8	DDR3 SDRAM	64 GB				1 Lithium Polymer batteries required. (included)	1920x1080	5 hours	Android	5 MP	Corded-Electric"," Battery								",,,
"$88.99	10 inches	2560 x 1600	2.5 GHz	4 GB	64 GB	8			802.11b/g", 802.11bgn," 802.11b			YIERA			Android 7.0 Nougat	1.9 pounds	9.5 x 6.8 x 0.4 inches	9.53 x 6.77 x 0.43 inches	Metallic Black		8		64 GB					1280x800	5 hours	Android	5 MP	Corded-Electric"," Battery								",,,
"$63.99	7 inches	1024 x 600	1.5 GHz Cortex	1 GB	32 GB	Mali-G31MP2			802.11bgn			PRITOM	P7	PTP7132-B1BK	Android 8.1 Oreo	8.8 ounces	7.4 x 4.3 x 0.3 inches	7.4 x 4.3 x 0.35 inches	Black	ARM	4		32 GB				1 Lithium Polymer batteries required. (included)	1024×600	5 years	PC	2 pixels	AC & Battery								",,,,,,
"$274.99	11.6 inches	1366 x 768	1.1 GHz Pentium	4 GB	flash_memory_solid_state		intel		802.11abg", 802.11ac, 802.11a/b/g/n," 802.11a			ASUS	ASUS VivoBook		Windows 10 Home	4.09 pounds				Intel Pentium N4200	4	DDR4 SDRAM					1 Lithium ion batteries required. (included)		7 hours	Windows								15.6 x 9.1 x 2.4 inches		",,,
"$279.00	14 inches	1920 x 1080 pixels	1.6 GHz 8032	4 GB A8	Flash Memory Solid State		AMD	Integrated		1		HP	NAE-HP-S14-CB070NR	14-cb070nr	Windows 10 S	3 pounds	8.9 x 13.3 x 0.7 inches	8.9 x 13.27 x 0.7 inches	Aqua Blue	Intel	2		64.0	ATA-4	1	No Optical Drive	1 Lithium ion batteries required. (included)							1 GHz						",,,,,,
"$663.00			2.9 GHz Intel Core i7	16 GB ddr4_sdram	512 GB flash_memory_solid_state	Intel HD Graphics 630		integrated	802.11ac	2		HP		HP	Windows 10	14.05 pounds	12.1 x 6.4 x 12 inches	12.09 x 6.4 x 12.04 inches		Intel	4	DDR SDRAM		Solid State						PC										",,,,,,
$1 ,"449.00	15.6 inches	3840 x 2160	4.6 GHz Intel Core i7	16 GB	512 GB flash_memory_solid_state	Intel	intel	Integrated				Lenovo	Yoga		Windows 10	6.35 pounds				Intel	1	DDR4 SDRAM		Solid State			1 Lithium ion batteries required. (included)			PC								19.5 x 12.5 x 3.8 inches		",,,,,
"$728.99	0.01 inches		3 GHz Core i5 Family	DDR4 SDRAM	500 GB Mechanical Hard Drive	Intel UHD Graphics 630		Integrated		4		Dell	5070	5070	Windows 10 Professional	11.6 pounds	11.5 x 3.7 x 11.4 inches	11.5 x 3.7 x 11.4 inches		Intel	1	DDR4 SDRAM	500.00	Serial ATA	7200 RPM	DVD±R/±RW				PC										",,,,,,
$1 ,"206.99	0.01 inches		3 GHz Core i7 Family	16 GB DDR4	256 GB Flash Memory Solid State	Intel UHD Graphics 630	Intel	Integrated		4		Dell	7070	7070	Windows 10 Professional	13.45 pounds	11.4 x 3.7 x 11.5 inches	11.4 x 3.7 x 11.5 inches	Black	Intel	1		16	Solid State	0.01 RPM	DVD-RW				PC		AC		2666 MHz						",,,,,
"$439.99	15.6 inches	1920 x 1080	2.7 GHz AMD A Series	8 GB	128 GB flash_memory_solid_state	AMD Radeon R7	amd	Dedicated	802.11ac			ASUS	VivoBook F510QA	VivoBook F510QA	Windows 10	5.67 pounds	14.2 x 10.1 x 0.8 inches	14.2 x 10.1 x 0.8 inches		Intel	4	DDR4 SDRAM	128 GB	Solid State				1920 x 1080		PC										",,,,,,
"$133.00	11.6 inches		1.04 GHz Intel Atom	2 GB LPDDR3	16 GB Flash Memory Solid State	None	Samsung	Dedicated		1	1	Samsung	Samsung XE501C13-S01 Chromebook 3	XE501C13-S01	Chrome OS	2.6 pounds	11.4 x 8.1 x 0.7 inches	11.4 x 8.1 x 0.7 inches		Intel	4	DDR3 SDRAM	12.00	eSATA	12 RPM	BD-R	1 A batteries required. (included)	1366x768		PC				1600 MHz						",,,,,,
"$436.00			3.9 GHz Intel Core i5	12 GB ddr4_sdram	1 TB mechanical_hard_drive	Intel	Intel					Dell	Dell		Windows 10	4 pounds	11 x 6 x 14 inches	11 x 6 x 14 inches		Intel	4	GDDR4		Serial ATA			1 Lithium ion batteries required. (included)			PC		AC								",,,,,,
"$92.99	10 inches	2560 x 1600"," 1280 x 800	2.5 GHz	4 GB SDRAM DDR3	64 GB SSD	ARM			2.4 GHz Radio Frequency", 802.11bgn," Bluetooth			YELLYOUTH	YY-107 Series		Android 7.0 Nougat	1.43 pounds	9.2 x 6.5 x 0.3 inches	9.25 x 6.5 x 0.3 inches	Black	ARM	8	DDR3 SDRAM	64 GB				1 Lithium ion batteries required. (included)	1280x800	3 hours	Android	8 MP	AC & Battery								",,,
"$479.95	6 inches		2.4 GHz Intel Mobile CPU	8 GB	128 GB	lntel® UHD Graphics 600						Goodlife623	GPD MicroPC		Windows 10 Pro	1.85 pounds				Intel	4	DDR4 SDRAM		ATA			1 Lithium ion batteries required. (included)			PC								8.2 x 6.5 x 2.5 inches		",,,,,,
"$674.00	15.6 inches		2.3 GHz Intel Core i5	8 GB	256 GB	NVIDIA GeForce GTX 1050 Ti	nvidia	dedicated				Acer	Acer Nitro	Acer	Windows 10	9.12 pounds	15.4 x 10.5 x 6 inches	15.4 x 10.5 x 5.95 inches		Intel	4	DDR3 SDRAM	256 GB	Serial ATA			1 Lithium ion batteries required. (included)			PC										",,,,,,
$1 ,"049.00	15.6 inches	1920x1080	2.7 GHz Intel Core i7	16 GB DDR4	512 GB SSD	NVIDIA Quadro M1200 4GB	intel	dedicated	802.11ac			Lenovo	ThinkPad	P51	Windows 10	8.7 pounds	14.9 x 9.6 x 0.8 inches	14.9 x 9.6 x 0.8 inches		Intel	4	DDR4 SDRAM		Solid State				1920x1080		PC		AC & Battery								",,,,,
$2 ,"999.99	17 inches	1920 x 1200 pixels	4.7 GHz Intel Xeon	32 GB DDR4	2 TB Flash Memory Solid State	NVIDIA Quadro RTX 3000	NVIDIA	Dedicated	802.11ax"," Bluetooth		4	ASUS	ProArt StudioBook Pro	W700G3T-XH99	Windows 10 Pro	5.27 pounds	15 x 11.3 x 0.8 inches	15 x 11.3 x 0.78 inches		Intel	6	DDR4 SDRAM	2.00	Solid State	10000 RPM	No Optical Drive	1 Lithium Polymer batteries required. (included)			PC						6 GB				",,,,
"$587.00			4.1 GHz Intel Core i5	12 GB ddr4_sdram	128 GB	Intel	Intel					Dell	Dell		Windows 10	14 pounds	11.6 x 6.3 x 14.7 inches	11.6 x 6.3 x 14.7 inches		Intel	6	GDDR4	128 GB	Solid State		DVD-R				PC		AC								",,,,,,
"$638.48	14 inches	1366 x 768	1.6 GHz Core i5 Family	8 GB DDR4	256 GB Flash Memory Solid State		Intel	Integrated				HP	HP Pavilion x360 Convertible 14-cd1010nr	5TS83UA#ABA	Windows 10 Home	3.51 pounds			Silver	Intel	4	DDR4 SDRAM	256.00	Solid State	0.01 RPM	No Optical Drive	1 Lithium ion batteries required. (included)			Windows								17.6 x 12 x 2.7 inches		",,,,,,
$4 ,"584.99	17.3 inches		8032	DDR2	flash_memory_solid_state	NVIDIA GeForce RTX 2080	nvidia	Dedicated			3	Acer	Acer Predator Series	Predator Triton 900		9.92 pounds	11.9 x 16.9 x 0.9 inches	11.9 x 16.9 x 0.9 inches			1		512.00	Solid State	3 RPM	No Optical Drive														",,,,,
"$398.37	15.6 inches	1366x768	3.1 GHz AMD A Series	16 GB SDRAM	512 GB SSD	AMD Radeon R5 Series	AMD		802.11ac			Lenovo	Lenovo Ideapad A9 Series	Lenovo Ideapad A9 Series	Windows 10	4.63 pounds	15 x 10 x 0.9 inches	14.96 x 9.99 x 0.94 inches		AMD	2	DDR4 SDRAM	512 GB	Solid State			1 Lithium ion batteries required.	1366x768	7.5 hours	PC		AC & Battery								",,,,,,
"$47.99	7 inches	1024×600	1.2 GHz 1.2GHz Cortex A9 Processor	1 GB SDRAM DDR3	16 GB	Rockchip 3126", Cortex-A9," 1.2GHz			802.11b			Haehne	Touch	HN-86A-16G-pink	Android 6.0 Marshmallow	10.6 ounces	7.5 x 3.1 x 0.3 inches	7.48 x 3.15 x 0.31 inches	Pink	AMD	4		16 GB	USB			1 Lithium ion batteries required. (included)	1024×600	2 years	PC	2 MP	AC & Battery								",,,,
"$628.99	13.3 inches		1.6 GHz Intel Core i5	8 GB DDR4	256 GB SSD	Intel UHD Graphics 620		Integrated	Bluetooth	1		Dell	Inspiron 13	T8TJG	Windows 10	3.84 pounds	12.7 x 8.8 x 0.7 inches	12.7 x 8.8 x 0.7 inches	Gray	Intel	4	DDR4 SDRAM	256 GB				1 CR5 batteries required. (included)	1920x1080		PC										",,,,,,
"$319.99	11.6 inches	1366 x 768	1.1 GHz Intel Celeron	4 GB DDR3	64 GB eMMC SSD	Integrated Intel HD Graphics 500	Intel	integrated	802.11ac"," Bluetooth			HP	HP ProBook x360 G1 EE 11.6-Inch Commercial Laptop	HP ProBook x360 11 G1 EE NoteBook PC	Windows 10	3.19 pounds	8.2 x 11.9 x 0.8 inches	8.19 x 11.91 x 0.78 inches		Intel	4	DDR3 SDRAM	64 GB	Solid State			1 Lithium ion batteries required. (included)	1366x768		PC		AC & Battery		1600 MHz						",,,,,
$1 ,"649.95	15.6 inches	3840x2160	2.2 GHz Intel Core i7	16 GB	1 TB SSD	NVIDIA GeForce GTX 1050 Ti	NVIDIA	Dedicated	802.11ac			Best Laptop	Spectre x360 15t Max-Q Pro McAfee	Spectre x360 15t Max-Q Pro McAfee	Windows 10	4.81 pounds	14.2 x 9.8 x 0.8 inches	14.22 x 9.84 x 0.76 inches	Poseidon Blue	Intel	6	DDR4 SDRAM		Solid State			1 Lithium ion batteries required. (included)	3840x2160		PC		AC & Battery		2400 MHz		4 GB				",,,,,
"$159.99			1.92 GHz Intel Atom	4 GB ddr_sdram	64 GB			integrated				Feile Home		1633	Windows 10	10.2 ounces				Intel		DDR3 SDRAM								PC								6.7 x 5.3 x 2.3 inches		",,,,,,
"$899.00	23.8 inches	1920 x 1080 pixels	3.4 GHz Intel Core i5	8 GB DDR4	1 TB Hybrid Drive	Intel UHD Graphics 620	Intel	Integrated	802.11a/b/g/n/ac	1	3	ASUS	Asus Vivo AiO Desktop	V241FA-DS501T	Windows 10 Home	11.2 pounds	21.3 x 16.1 x 6.5 inches	21.3 x 16.1 x 6.5 inches		Intel	4	DDR4 SDRAM	128.00	Serial ATA-600	5400 RPM	None	1 Lithium Metal batteries required. (included)			PC						8 GB				",,,,,,
"$179.99	10.1 inches	1920x1080	2.4 GHz Celeron 3865U	32 GB SDRAM	32 GB HDD 7200 rpm		Intel		Bluetooth", 2.4 GHz Radio Frequency," 802.11n	1		CHUWI	Android 8.0	HIPAD LTE	Android 8.0 Oreo	1.08 pounds	9.8 x 6.3 x 0.3 inches	9.84 x 6.3 x 0.28 inches		Intel	10	DDR3 SDRAM	32 GB	ATA100	5000.00		1 Lithium ion batteries required. (included)	1920x1080	5 years	Mac	300 lines_per_inch	AC		2.4 GHz		3 GB				",,,,
"$51.99	7 inches	1024 x 600	1.5 GHz	1 GB SDRAM DDR3	16 GB	Cortex-A50 64-bit (1.5GHz)			802.11b			Haehne	Touch	HN-Q8-16G-Black	Android 6.0 Marshmallow	1.23 pounds			Pink		4	DDR3 SDRAM	16 GB	USB			1 Lithium ion batteries required. (included)	1024×600	6 hours	PC	2 MP	AC & Battery						8.5 x 8.1 x 1.8 inches		",,,,,,
$1 ,"799.00	17.3 inches	1920x1080	2.6 GHz Intel Core i7	32 GB DDR4	1 TB HDD 7200 rpm	NVIDIA GeForce RTX 2070	NVIDIA	dedicated	802.11ac			Sager	NP8977	NP8977	Windows 10	5.51 pounds	10.6 x 15.7 x 0.8 inches	10.55 x 15.69 x 0.78 inches		Intel	6	SDRAM		Serial ATA	7200 RPM		1 Lithium Polymer batteries required. (included)	1920x1080		PC										",,,,,
$1 ,"933.48	15.6 inches	1920 x 1080	4.5 GHz Core i7 Family	16 GB DDR4	512 GB Flash Memory Solid State		NVIDIA	Dedicated	802.11ac		4	Acer	PT515-51-7746	PT515-51-7746	Windows 10 Home	5.51 pounds	14.1 x 10 x 0.7 inches	14.11 x 10.04 x 0.7 inches		Intel	6		512.00	Solid State	0.1 RPM	No Optical Drive	1 Lithium ion batteries required. (included)									8 GB				",,,,,
"$352.86	15.6 inches	1920x1080	3 GHz AMD A Series	8 GB	1 TB HDD 5400 rpm	AMD Radeon R5	amd		802.11ac			Acer	Aspire 3	NA	Windows 10	6.08 pounds	15 x 10.2 x 0.8 inches	15.02 x 10.2 x 0.82 inches		AMD	2	DDR4 SDRAM		Serial ATA	5400 RPM		1 Lithium ion batteries required. (included)	1920x1080		PC										",,,,,,
"$449.99	17.3 inches	1600 x 900	2.1 GHz Intel Core i3	8 GB	256 GB flash_memory_solid_state	Intel UHD Graphics 620	intel	Integrated				Lenovo	Ideapad		Windows 10	7.05 pounds				Intel	2	DDR4 SDRAM		Serial ATA			1 Lithium Polymer batteries required. (included)			PC								22.8 x 13.5 x 2.8 inches		",,,,,,
"$899.00	15.6 inches	1920 x 1080	2.2 GHz Intel Core i7	8 GB	256 GB SSD	NVIDIA GeForce GTX 1650	NVIDIA	dedicated	802.11ac			MSI	MSI	MSI	Windows 10 Home	8.34 pounds	12.8 x 9.2 x 0.7 inches	12.8 x 9.2 x 0.7 inches		Intel	6	DDR4 SDRAM		Serial ATA				1920 x 1080		PC										",,,,,,
"$385.16	14 inches	1366 X 768	2.4 GHz Core i3 7100U	8 GB SO-DIMM	256 GB SSD	Intel HD Graphics 620		Integrated	802.11bgn			HP	14cf		Windows 10	4.4 pounds	12.8 x 8.9 x 0.8 inches	12.76 x 8.89 x 0.78 inches	Gold	Intel	2	DDR4 SDRAM		Solid State			1 Lithium ion batteries required. (included)	1366x768	6 hours	PC		AC & Battery		2133 MHz						",,,,,,
"$400.00	15.6 inches	4096x2304	3.9 GHz Intel Core i3	8 GB	256 GB SSD	Intel UHD Graphics 620	Intel	Integrated	802.11ac			Lenovo	193268214859		Windows 10	5.24 pounds	14.1 x 9.6 x 0.7 inches	14.1 x 9.6 x 0.7 inches	Abyss Blue	Intel	2	DDR4 SDRAM	256 GB	Solid State			1 Lithium ion batteries required.	1366x768	8 hours	PC		AC & Battery		2400 MHz		32.00				",,,,,,
"$870.90	14 inches	1920x1080	1.8 GHz Intel Core i7	16 GB DDR3	512 GB flash_memory_solid_state	NVIDIA GeForce MX150	nvidia	Dedicated	802.11ac	1		ASUS	ASUS ZenBook	UX430UN	Windows 10	4.41 pounds	12.8 x 8.9 x 0.6 inches	12.76 x 8.86 x 0.63 inches		Intel	4	DDR3 SDRAM		Solid State			1 Lithium ion batteries required. (included)	1920x1080		PC		AC & Battery								",,,,,,
"$98.99	10 inches	1280 x 800	1.5 GHz Cortex	2 GB	32 GB	4			802.11bgn			PRITOM		M10		1.06 pounds	9.6 x 6.9 x 0.3 inches	9.6 x 6.9 x 0.3 inches	Black	Cortex	4	DDR3 SDRAM	32 GB	Serial ATA-300			1 Lithium Polymer batteries required. (included)	1280x800	6 hours	PC	4 MP	AC & Battery				2 GB				",,,,,,
"$239.99	10.1 inches	1280 x 800	1.92 GHz Intel Atom	4 GB SO-DIMM DDR3	64 GB SSD	Intel HD Graphics	Intel	Integrated	802.11bgn"," 2.4 GHz Radio Frequency	1		AWOW	SimpleBook 10	SimpleBook 10	Windows 10	1.2 pounds	9.8 x 6.5 x 0.3 inches	9.8 x 6.5 x 0.3 inches	Gray	Intel	4	SODIMM	4 GB	Solid State			1 Lithium Polymer batteries required. (included)	1280 x 800	6 hours	PC	5 MP	DC 5V-2.5A	3.7 volts	1600 MHz						",,,,,
$1 ,"175.71	14 inches	1920 x 1080	8032	DDR3	flash_memory_solid_state		intel	Integrated			2	HP	HP ProBook	7HV85UT#ABA		5.22 pounds					1			Solid State	1 RPM	None	1 9V batteries required. (included)									2 GB		17.7 x 12 x 2.8 inches		",,,,,
"$589.99	0.1		3.6 GHz Intel Core i3	8 GB DDR4	1 TB Mechanical Hard Drive	AMD Radeon RX 580	AMD	Dedicated	802.11ac	2	6	CyberpowerPC	Gamer Xtreme	GXi11360CPG	Windows 10 Home	33.8 pounds	18.5 x 8.2 x 18.7 inches	18.5 x 8.2 x 18.7 inches		Intel	4	DDR4 SDRAM	240	Serial ATA-600	7200 RPM	None				PC				2400 MHz		4 GB				",,,,,,
"$799.99	14 inches	1920 x 1080 (Full HD)	8032	16 GB DDR4	512 GB flash_memory_solid_state		Intel® UHD Graphics 620					Dell	Inspiron I5482	I5482		4.1 pounds	12.9 x 9.2 x 0.8 inches	12.9 x 9.2 x 0.8 inches	Silver		4	DDR SDRAM	512 GB				1 Lithium ion batteries required.	1920 x 1080 (Full HD)				AC & Battery								",,,,,,
"$84.99	10.1 inches	1280 x 800	8032									Ematic	Ematic			3.4 pounds					1		16 GB															12.2 x 8.2 x 5.1 inches		",,,,,,
"$969.00	15.6 inches	1920 x 1080	2.6 GHz Core i7 6600U	16 GB DDR4	512 GB SSD	Intel UHD Graphics 520	intel		802.11ac			Lenovo	ThinkPad	T570	Windows 10 Pro	6.62 pounds	14.4 x 9.9 x 0.8 inches	14.4 x 9.9 x 0.78 inches	Black	Intel	2	DDR4 SDRAM		Solid State				1920 x 1080		PC		AC & Battery								",,,,,,
$1 ,"359.99	15.6 inches	1920 x 1080	8032	DDR4	flash_memory_solid_state	Core i7	Allwinner	Dedicated	802.11ac		2	Lenovo	Lenovo Thinkpad	20N6001UUS		6 pounds					1		512.00	Serial ATA	1	No Optical Drive	1 Lithium ion batteries required.											19.2 x 13 x 3.1 inches		",,,,,
"$102.99	10.1 inches	1920*1200	1.3 GHz	2 GB SDRAM DDR3	32 GB SSD	ARM Mali-T720 MP2 1.x/2.0/3.0/3.1 3D graphic acce	AMD		802.11abg	1		BENEVE	SDRAM	M1031-Kids	Android 7.0 Nougat	1.41 pounds	9.5 x 6.6 x 0.3 inches	9.48 x 6.59 x 0.34 inches	Blue	ARM	4	DDR3 SDRAM	32 GB	USB			1 Lithium ion batteries required. (included)	1920x1200	3 hours	Mac	115 MP	AC & Battery		520 GHz		32 GB				",,,,,,
"$364.00	15.6 inches	1366 x 768	2.4 GHz Intel Core i3	8 GB SDRAM	128 GB SSD	Intel HD Graphics 620	intel	Integrated				HP	HP		Windows 10	6.26 pounds	14.9 x 9.9 x 0.9 inches	14.9 x 9.9 x 0.9 inches		Intel	2	DDR4 SDRAM		Solid State			1 Lithium ion batteries required. (included)	1366x768	7 hours	PC		AC & Battery								",,,,,,
"$65.99	7 inches	1024 x 600	1.3 GHz	1 GB	16 GB	Quad Core			802.11b/g", 802.11bgn," 802.11b			YUNTAB	Touch		Android 7.0 Nougat	1.28 pounds			Black		4		16 GB				1 Lithium Polymer batteries required. (included)		24 hours	Android	2 MP	Corded-Electric"," Battery						8.3 x 5.4 x 2.8 inches		",,,
"$199.99	14.1 inches	1920x1080	2.2 GHz Intel Mobile CPU	4 GB DDR3	128 GB emmc	Intel HD Graphics 400	intel	Integrated	802.11b/g", 802.11bgn," 802.11b			JUMPER	Jumper EZbook 2	Jumper Ezbook 2	Windows 10	2.7 pounds	13.7 x 9.2 x 0.6 inches	13.7 x 9.25 x 0.55 inches	Silver	Intel	1	DDR3 SDRAM	64 GB	USB 3.0				1920x1080	6 hours	Mac	2 MP	Corded-Electric"," Battery				4 GB				",,,
$1 ,"799.00	24 inches		4.9 GHz Intel Core i7	16 GB DDR4	1 GB Hybrid Drive	NVIDIA GeForce RTX 2080	nVidia	Dedicated	802.11a/b/g/n/ac"," Bluetooth	4	8	ASUS	ROG Strix GL12	GL12CX-DS781	Windows 10 Home	24.3 pounds	18 x 7 x 15.7 inches	18 x 7 x 15.7 inches	gray"," black	Intel	8	DDR4 SDRAM	512.00	Serial ATA-600	7200 RPM	DVD-RW	1 Lithium Metal batteries required. (included)			PC				2666 MHz		8 GB				",,,
$1 ,"109.00	15.6 inches	1920x1080	2.2 GHz Intel Core i7	16 GB	512 GB flash_memory_solid_state	NVIDIA GeForce GTX 1060 6GB GDDR5	nvidia	dedicated	802.11ac			Acer	Predator Helios 300	PH315	Windows 10	10.25 pounds	15.4 x 10.5 x 1.1 inches	15.4 x 10.5 x 1.1 inches		Intel	6	DDR4 SDRAM	512 GB	Solid State				1920x1080	7 hours	PC										",,,,,
"$14.95			1 GHz Intel Pentium 4	1 GB	4 GB mechanical_hard_drive							RecoveryEssence			Windows XP	9.6 ounces	7.5 x 5.3 x 0.6 inches	7.48 x 5.31 x 0.55 inches		Intel		DDR SDRAM		ATA						PC										",,,,,,
"$559.56	13.3 inches		2.6 GHz Qualcomm Snapdragon S4 MSM8270	128 GB DDR3L	128 GB Embedded MultiMediaCard	Qualcomm Adreno 540	Qualcomm	Integrated	802.11abg", 802.11a/b/g/n," 802.11a	1	2	ASUS	NovaGo	TP370QL-6G128G	Windows 10 S	3.1 pounds	12.4 x 8.7 x 0.6 inches	12.4 x 8.7 x 0.6 inches	Star Grey	Qualcomm	2	DDR SDRAM	128.00	Solid State	10000	No Optical Drive	1 Lithium ion batteries required. (included)	1920x1080 pixels		Windows										",,,,
"$817.69	13.3 inches	1920 x 1080	1.6 GHz Intel Core i5	8 GB	1 TB SSD	Intel UHD Graphics 620	Intel	Integrated	802.11ac			Lenovo	Lenovo	Lenovo	Windows 10	2.62 pounds	12.2 x 8.5 x 0.6 inches	12.2 x 8.5 x 0.6 inches		Intel	4	DDR3 SDRAM	1 TB	Serial ATA				1920 x 1080		PC										",,,,,,
"$616.00	15.6 inches	1920 x 1080	2.7 GHz Core i7 7500U	16 GB	256 GB flash_memory_solid_state	620	intel	integrated	802.11ac			Dell	i5570	I5559-4681SLV	Windows 10	5.18 pounds	14.9 x 10.2 x 0.9 inches	14.9 x 10.25 x 0.95 inches		Intel	2	DDR SDRAM		Solid State			1 Lithium ion batteries required. (included)	1920x1080		PC										",,,,,,
$1 ,"099.00	14 inches	1920 x 1080 pixels	8032	A8	flash_memory_solid_state		amd	Dedicated	802.11abg", 802.11a/b/g/n/ac, 802.11a/b/g/n," 802.11a	1	1	Lenovo	Lenovo Thinkpad	20NJ0007US		5.3 pounds	2 x 4 x 8 inches	2 x 4 x 8 inches			1		1.00	ATA-4	1	BD-R	1 Lithium ion batteries required.	1920 x 1080					120 volts	1 GHz		1				",,
$1 ,"196.59	15.6 inches	1920 x 1080	2.4 GHz Intel Core i5	16 GB SDRAM	1512 GB Hybrid	NVIDIA GeForce GTX 1660Ti GDDR6 6GB	NVIDIA	dedicated	802.11ac			ASUS	ROG Strix	ASUS	Windows 10	9.85 pounds	14.2 x 10.8 x 1 inches	14.17 x 10.83 x 1.02 inches	Black	Intel	4	DDR4 SDRAM	512 GB	Serial ATA				1920 x 1080		PC	1.2 MP	AC & Battery								",,,,,
$1 ,"799.99	17.3 inches		Core i7 8750H	32 GB		NVIDIA GeForce GTX 1070	nvidia	Dedicated	802.11ac			OMEN	AN188NR	4NA35UA#ABA	All Windows Server Versions 2000	8.33 pounds	16.6 x 1.3 x 12 inches	16.65 x 1.3 x 11.97 inches		Intel	6	GDDR5	256.0		5400 RPM		1 Lithium ion batteries required. (included)							2666 MHz						",,,,,
"$868.20	15.6 inches	1920 x 1080	3.9 GHz Intel Core i5	24 GB	1 TB SSD	Intel UHD Graphics 620	Intel	Integrated	802.11ac			Lenovo	B07WGWRD4H		Windows 10	6.35 pounds	14.2 x 9.8 x 4.2 inches	14.2 x 9.8 x 4.17 inches		Intel	4	DDR4 SDRAM		Solid State				1920x1080	11 hours	PC		AC & Battery		2400 MHz						",,,,,,
$2 ,"262.99	15.6 inches	1920x1080 pixels	2.2 GHz Intel Core i7	16 GB DDR4	1256 GB Flash Memory Solid State	NVIDIA GeForce GTX 1060	NVIDIA	Integrated	802.11ac	1	1	ASUS	ROG Zephyrus M	GM501GM-WS74	Windows 10 Pro	12.3 ounces	21.2 x 4.5 x 14.7 inches	21.2 x 4.5 x 14.7 inches		Intel	2	DDR4 SDRAM	1280.0		5400.00	No Optical Drive	4 Lithium ion batteries required. (included)	1920 x 1080		PC				2666 MHz		6.00				",,,,,
"$454.90	15.6 inches	1920 x 1080	2.7 GHz AMD A Series	12 GB	1 TB flash_memory_solid_state	AMD Radeon R7	amd	Dedicated	802.11ac			ASUS	VivoBook F510QA	VivoBook F510QA	Windows 10	5.55 pounds	14.2 x 10.1 x 0.8 inches	14.2 x 10.1 x 0.8 inches		Intel	4	DDR4 SDRAM	1 TB	Solid State				1920 x 1080		PC										",,,,,,
"$259.99	14 inches	1366 x 768	1.1 GHz Intel Celeron	4 GB	64 GB SSD		intel	integrated	802.11ac			Dell	Dell Inspiron	NA	Windows 10	3.51 pounds	13.3 x 9.5 x 0.8 inches	13.35 x 9.52 x 0.83 inches		Intel	2	SDRAM	64 GB	Serial ATA			1 Lithium ion batteries required. (included)			PC										",,,,,,
"$236.80	15.6 inches	1366 x 768	2.6 GHz AMD A Series	4 GB	500 GB mechanical_hard_drive	AMD Radeon R4	amd	Dedicated				Lenovo	Lenovo S145		Windows 10	4.08 pounds	14.3 x 9.9 x 0.8 inches	14.3 x 9.9 x 0.8 inches		AMD	2	DDR4 SDRAM		ATA	5400 RPM		1 Lithium ion batteries required.		5.5 hours	PC										",,,,,,
$1 ,"559.80	15.6 inches	1920x1080	2.6 GHz Intel Core i7	32 GB	1 TB HDD 5400 rpm	NVIDIA GeForce GTX 1660 Ti 6GB GDDR6	nvidia	dedicated	802.11ac			Dell	G5 15 Gaming	G5 15 Gaming	Windows 10	7 pounds	14.4 x 10.8 x 0.8 inches	14.37 x 10.8 x 0.78 inches		Intel	6	DDR4 SDRAM		Serial ATA	5400 RPM			1920x1080		PC										",,,,,
"$79.99	10 inches	1280 x 800	1.3 GHz	1 GB	16 GB							RCA	Touch		Android 7.0 Nougat	3.06 pounds			Black		4		16 GB				1 Lithium ion batteries required.			Android		Battery						12.4 x 8.4 x 3.1 inches		",,,,,,
$1 ,"795.00	13 inches		1.9 GHz Intel Core i7	8 GB LPDDR3_SDRAM	8 GB	Integrated Intel UHD Graphics 620			802.11ac			Lenovo	x1 tablet	x1 tablet	Windows 10 Professional	5.54 pounds				intel	4	DDR3 SDRAM	8 GB				1 9V batteries required. (included)		10 hours	Windows	5 MP	Corded-Electric						15 x 11.2 x 3.5 inches		",,,,,
