Price	Screen Size	Max Screen Resolution	Processor	RAM	Hard Drive	Graphics Coprocessor	Chipset Brand	Card Description	Wireless Type	Number of USB 2.0 Ports	Number of USB 3.0 Ports	Brand Name	Series	Item model number	Operating System	Item Weight	Product Dimensions	Item Dimensions L x W x H	Color	Processor Brand	Processor Count	Computer Memory Type	Flash Memory Size	Hard Drive Interface	Hard Drive Rotational Speed	Optical Drive Type	Batteries	Screen Resolution	Average Battery Life (in hours)	Hardware Platform	Rear Webcam Resolution	Power Source	Voltage	Memory Speed	California residents	Graphics Card Ram Size	National Stock Number	Package Dimensions	Audio-out Ports (#)	Battery Type",,,,,,,
$149.97	11.6 inches	1366 x 768	8032	4 GB DDR3	flash_memory_solid_state		intel	Integrated	802.11abg, 802.11a/b/g/n/ac, 802.11a/b/g/n, 802.11a		2	Lenovo	Lenovo Thinkpad	20LQS00000	Windows 10 Pro	3.9 pounds	2 x 4 x 8 inches	2 x 4 x 8 inches			1		128.00	Solid State	2 RPM	No Optical Drive															https://www.amazon.com//Lenovo-ThinkPad-20LQS00000-11-6-Netbook/dp/B07BZ5MH2Y/ref=sr_1_1121?qid=1575100182&s=computers-intl-ship&sr=1-1121
$139.95	14.1 inches	1366 x 768	1.92 GHz Intel Atom	2 GB DDR3	64 GB SSD	Intel HD Graphics	intel	Integrated				Fusion5	T90B		Windows 10	3.06 pounds				Intel	4	DDR3 SDRAM	64 GB	Solid State			1 Lithium Polymer batteries required. (included)	1366 x 768		Windows								13.9 x 11.8 x 2.3 inches			https://www.amazon.com//Laptop-Computer-x5-Z8350-Windows-Renewed/dp/B07X49WR7L/ref=sr_1_1122?qid=1575100182&s=computers-intl-ship&sr=1-1122
$873.99	1		8032	ddr4_sdram	flash_memory_solid_state	Intel UHD Graphics 630		Dedicated		4	1	HP	4HJ16UT#ABA	4HJ16UT		9.92 pounds	3.7 x 10.6 x 11.7 inches	3.74 x 10.63 x 11.65 inches			6		256.00	ATA-4	1	DVD-W								2666 MHz		1					https://www.amazon.com//HP-Smart-Buy-PRODESK-600/dp/B07FW5XGBR/ref=sr_1_1123?qid=1575100182&s=computers-intl-ship&sr=1-1123
$679.99	13.3 inches		2.7 GHz Core i5-2410M	8 GB DDR3	128 GB Solid State	Intel Iris Graphics 6100	intel	Integrated	802.11abg			Apple	MacBook Pro	MF839LL/A	macOS 10.14 Mojave	3.48 pounds	8.6 x 12.4 x 0.7 inches	8.6 x 12.4 x 0.7 inches	13" 2.7GHz / 8GB RAM / 128GB Solid State Drive	Intel	2	DDR3 SDRAM	128 GB	Solid State			1 Lithium Polymer batteries required.			Mac	1 MP			1866 MHz							https://www.amazon.com//Apple-MacBook-MF839LL-i5-5257U-Renewed/dp/B079GBBKGZ/ref=sr_1_1124?qid=1575100182&s=computers-intl-ship&sr=1-1124
$206.00	14 inches		1.9 GHz Intel Core i5	8 GB DDR3	500 GB SSD	Intel HD Graphics 3000		Integrated	802.11bgn	1		Dell	Latitude	MBDELE5440/1.6CI5-128	Windows 10 Pro	4.3 pounds	9.3 x 13.3 x 1.1 inches	9.3 x 13.3 x 1.1 inches	Dark Gray	Intel	1	DDR3 SDRAM	128 GB	Serial ATA			1 Lithium Polymer batteries required.	1366x768		PC											https://www.amazon.com//Dell-Latitude-E5440-14in-Notebook/dp/B071X5CVWP/ref=sr_1_1125?qid=1575100182&s=computers-intl-ship&sr=1-1125
$332.99	11.6 inches	1366x768 pixels	1.6 GHz Intel Celeron	4 GB DDR3	32 GB Flash Memory Solid State	Intel HD Graphics 510	intel	Integrated	802.11ac		3	Acer	NX.GP6AA.001	C771T-C1WS	Chrome OS	2.9 pounds	11.7 x 8.2 x 0.8 inches	11.7 x 8.2 x 0.8 inches		Intel	1		32.0			No Optical Drive	1 Lithium ion batteries required. (included)		13 hours												https://www.amazon.com//Acer-C771T-C1WS-Chromebook-Intel-Celeron/dp/B074L2CT66/ref=sr_1_1127?qid=1575100182&s=computers-intl-ship&sr=1-1127
$589.00	15.6 inches	HD ( 1366 x 768 ) Touchscreen	1.8 GHz Intel Core i7	12 GB DDR	256 GB flash_memory_solid_state	Intel UHD Graphics 620	Intel	Integrated	802.11ac			HP	Dell Inspiron 15 3000	15-da1005dx	Windows 10 Home	3.88 pounds	9.7 x 14.8 x 0.9 inches	9.7 x 14.8 x 0.89 inches	Silver	Intel	4	DDR SDRAM	256 GB	Solid State			1 Lithium ion batteries required. (included)	HD ( 1366 x 768 ) Touchscreen	10.25 hours	Business and Home Laptop											https://www.amazon.com//HP-Performance-Touchscreen-Quad-Core-Bluetooth/dp/B07R7ZG8BQ/ref=sr_1_1128?qid=1575100182&s=computers-intl-ship&sr=1-1128
$769.00	15.6 inches	1920 x 1080	1.8 GHz Celeron 3865U	12 GB	512 GB SSD	Intel UHD 620 Graphics	intel		802.11abg, 802.11a/b/g/n/ac, 802.11ac, 802.11a/b/g/n, 802.11a			Lenovo	Lenovo S145	NA	Windows 10 Pro	4.41 pounds				Intel	4	DDR4 SDRAM		Solid State			1 Lithium ion batteries required. (included)			PC								21 x 13.2 x 2.8 inches			https://www.amazon.com//Lenovo-Computer-Quad-Core-i7-8565U-Bluetooth/dp/B07TRYXQJR/ref=sr_1_1129?qid=1575100182&s=computers-intl-ship&sr=1-1129
$299.06	0.01 inches		1.1 GHz Intel Celeron	4 GB DDR3L SDRAM	32 GB Flash Memory Solid State	Intel HD Graphics 500	Intel HD Graphics 500	Integrated	802.11abg	1	3	AZULLE	Byte3	A-1153-AB3-2	Windows 10 Professional	1.12 pounds	5.9 x 5.9 x 1.4 inches	5.9 x 5.9 x 1.45 inches	4GB/32GB/Apollo Lake J3455/Mini PC Only	Intel	4		32.00	Solid State	0.01	None				PC						4 GB					https://www.amazon.com//Fanless-Windows-Quad-Core-Computer-Supported/dp/B076CC93FP/ref=sr_1_1130?qid=1575100182&s=computers-intl-ship&sr=1-1130
$799.00	15.6 inches	1920 x 1080	2.7 GHz Intel Core i7	16 GB	512 GB flash_memory_solid_state	NVIDIA® GeForce® 940MX 4GB GDDR5	nvidia	dedicated	802.11ac			Dell	dell 5446blk	NA	Windows 10 Pro	6.25 pounds	9.9 x 15 x 0.8 inches	9.94 x 14.96 x 0.76 inches		Intel	2	DDR4 SDRAM	512 GB	Solid State			1 Lithium ion batteries required. (included)			PC											https://www.amazon.com//Dell-Flagship-Notebook-Processor-Bluetooth/dp/B07PPDQY72/ref=sr_1_1131?qid=1575100182&s=computers-intl-ship&sr=1-1131
$229.99	15.6 inches	1366x768	2.6 GHz AMD A Series	4 GB	500 GB mechanical_hard_drive	AMD Radeon R4 Graphics	amd		802.11ac			Lenovo	IdeaPad	S145	Windows 10	4.08 pounds	14.3 x 9.9 x 0.8 inches	14.26 x 9.9 x 0.78 inches		AMD	2	DDR4 SDRAM		Serial ATA			1 Lithium Polymer batteries required.	1366x768	4 hours	PC											https://www.amazon.com//Lenovo-IdeaPad-S145-Laptop-Computer/dp/B07YSJ5GDN/ref=sr_1_1132?qid=1575100182&s=computers-intl-ship&sr=1-1132
$348.53	15.6 inches	1366x768	3.1 GHz AMD A Series	8 GB	512 GB flash_memory_solid_state	AMD Radeon R5	amd	integrated	802.11ac			Lenovo	Ideapad	130	Windows 10	5.69 pounds	14.8 x 10 x 0.9 inches	14.8 x 10 x 0.9 inches		AMD	2	DDR4 SDRAM	512 GB	Solid State			1 Lithium ion batteries required.	1366x768		PC											https://www.amazon.com//Lenovo-130-Computer-Dual-Core-Bluetooth/dp/B07S81YCNJ/ref=sr_1_1133?qid=1575100182&s=computers-intl-ship&sr=1-1133
$610.00	14.1 inches	1366x768 pixels	1.7 GHz Intel Core i5	8 GB	Flash Memory Solid State	Intel UHD Graphics 620	intel	Integrated	802.11g	1	3	Dell	Dell Latitude	K75NJ	Windows 10 Pro	3.1 pounds	13 x 8.7 x 0.7 inches	13 x 8.7 x 0.7 inches		Intel	1		256.0			No Optical Drive	1 Lithium ion batteries required. (included)					Corded-Electric									https://www.amazon.com//Dell-K75NJ-Latitude-Notebook-i5-8350U/dp/B079T67F7H/ref=sr_1_1134?qid=1575100182&s=computers-intl-ship&sr=1-1134
$69.95	7 inches	1024 x 600	1.8 GHz	2 GB	16 GB	A50			802.11b/g, 802.11bgn, 802.11b			YISENCE		CT4RRB		1.25 pounds			Rose		4		16 GB				1 Lithium ion batteries required. (included)			Android	2 MP	Battery						8.7 x 7.2 x 1.3 inches			https://www.amazon.com//Learning-Protection-Certified-Kids-Proof-Children/dp/B07X2Y5CND/ref=sr_1_1135?qid=1575100182&s=computers-intl-ship&sr=1-1135
$318.90	14 inches	1920 x 1080	1.1 GHz Pentium	4 GB	64 GB emmc	Intel UHD Graphics 620	intel	Integrated	802.11b/g, 802.11bgn, 802.11b			HP	HP 14	NA	Windows 10	4.4 pounds				Intel	4	DDR4 SDRAM	64 GB	Serial ATA			1 Lithium Polymer batteries required. (included)	1920x1080	10 hours	PC								17.7 x 12.1 x 2.7 inches			https://www.amazon.com//Flagship-HP-Quad-Core-Pentium-Personal-1yr/dp/B07Q6ZDKGS/ref=sr_1_1136?qid=1575100182&s=computers-intl-ship&sr=1-1136
$218.99	11.6 inches		1.6 GHz Intel Core 2 Duo	4 GB DDR3	16 GB emmc	Intel HD Graphics 400	intel	Integrated	802.11abg, 802.11a/b/g/n/ac, 802.11a/b/g/n, 802.11a			HP	HP 11t		Chrome OS	2.5 pounds	8 x 3 x 13 inches	8 x 3 x 13 inches		Intel	2	DDR3 SDRAM		Solid State			1 Lithium Polymer batteries required. (included)		12 hours	PC											https://www.amazon.com//Newest-HP-Touchscreen-Chromebook-Faster/dp/B078FNHP5D/ref=sr_1_1137?qid=1575100185&s=computers-intl-ship&sr=1-1137
$398.00	15.6 inches	1920 x 1080 pixels	2.5 GHz Intel Core i5	8 GB DDR4	1 TB Mechanical Hard Drive	Intel HD Graphics 620	intel	Integrated	802.11ac		2	Dell	Vostro 15 3000	Vostro 15 3000	Windows 10 Pro	6.4 pounds	15 x 10.2 x 0.9 inches	14.96 x 10.24 x 0.93 inches	black	Intel	2	DDR SDRAM	8.00	Serial ATA	5400 RPM	No Optical Drive	1 Lithium ion batteries required. (included)	1920x1080 pixels		PC										lithium_ion	https://www.amazon.com//Dell-LED-Backlit-Business-Bluetooth-Professional/dp/B0057SFLFY/ref=sr_1_1138?qid=1575100185&s=computers-intl-ship&sr=1-1138
$409.98	12 inches	2160 x 1440	1.9 GHz Intel Core i5	8 GB DDR3_SDRAM	256 GB	Intel HD Graphics 4400			802.11abg, 802.11a/b/g/n/ac, 802.11a/b/g/n, 802.11a			Microsoft			Windows 10	2 pounds	11.5 x 0.3 x 7.9 inches	11.5 x 0.3 x 7.9 inches	256 GB	Intel	2	DDR3 SDRAM	256 GB						9 hours	PC	1080 pixels	Corded-Electric									https://www.amazon.com//Microsoft-Surface-12-inch-Certified-Refurbished/dp/B07GZXRXRR/ref=sr_1_1139?qid=1575100185&s=computers-intl-ship&sr=1-1139
$1,357.98	13.3 inches	1920 x 1080	4.6 GHz	16 GB	512 GB flash_memory_solid_state	Intel	intel	Integrated	802.11ac			Dell	Dell XPS 9380	Dell XPS 9380	Windows 10	5.13 pounds	4 x 15 x 17 inches	4 x 15 x 17 inches		Intel	1	DDR SDRAM	512 GB				1 Lithium ion batteries required. (included)			PC											https://www.amazon.com//Dell-XPS-9380-1920x1080-i7-8565U/dp/B07NRKMDH3/ref=sr_1_1140?qid=1575100185&s=computers-intl-ship&sr=1-1140
$722.63	15.6 inches	1920x1080	1.6 GHz Core i5 8250U	16 GB	256 GB SSD	Intel UHD Graphics 620	Intel	Integrated	802.11ac			HP	Envy	Envy X360	Windows 10	6.14 pounds	14.1 x 9.7 x 0.7 inches	14.1 x 9.7 x 0.7 inches	Silver	Intel	4	DDR4 SDRAM	256 GB	Solid State			1 Lithium ion batteries required. (included)	1920x1080		PC		AC & Battery									https://www.amazon.com//HP-Envy-Touchscreen-Fingerprint-Accessories/dp/B07SXC19B9/ref=sr_1_1141?qid=1575100185&s=computers-intl-ship&sr=1-1141
$298.86	15.6 inches	1366 x 768	2.3 GHz Intel Pentium II	8 GB	500 GB mechanical_hard_drive	Intel HD Graphics 610	intel		802.11ac			Lenovo	Lenovo		Windows 10	5.3 pounds			Black	Intel	2	SDRAM		Serial ATA			1 Lithium ion batteries required.			PC								20.7 x 13 x 2.9 inches			https://www.amazon.com//Lenovo-Flagship-Pentium-Graphics-Windows/dp/B07WDNCS3W/ref=sr_1_1142?qid=1575100185&s=computers-intl-ship&sr=1-1142
$429.99	15.6 inches		2.5 GHz Intel Core i5	8 GB DDR	256 GB SSD	Intel HD Graphics 620	intel	Integrated		8		Dell	Dell-i5-256GB-SSD	Dell-i5-256GB-SSD	Windows 10 Home	2.6 pounds	10.2 x 15 x 0.9 inches	10.2 x 15 x 0.9 inches	black	Intel	2	DDR SDRAM	256 GB	Solid State			1 Lithium Metal batteries required. (included)			PC											https://www.amazon.com//Dell-Performance-Touch-Screen-MaxxAudio-Bluetooth/dp/B07956Q5BZ/ref=sr_1_1143?qid=1575100185&s=computers-intl-ship&sr=1-1143
$461.90	15.6 inches	1920 x 1080	8032		flash_memory_solid_state		intel		802.11ac			Lenovo	Lenovo Ideapad	81N8001LUS		3.97 pounds	14.1 x 9.6 x 0.7 inches	14.1 x 9.6 x 0.7 inches			1		256 GB				1 Lithium ion batteries required.														https://www.amazon.com//Lenovo-IdeaPad-S340-81N8001LUS-Laptop/dp/B07QHDNKRZ/ref=sr_1_1144?qid=1575100185&s=computers-intl-ship&sr=1-1144
$49.97	7 inches	1024 x 600	1.5 GHz	1 GB	16 GB	Imagination PowerVR GE8300			802.11b/g, 802.11bgn, 802.11b			Fusion5	F704B	F704B	Android 8.1 Oreo	14.1 ounces					4	DDR3 SDRAM	16 GB				1 Lithium Polymer batteries required.	1024x600	4 hours	Android	0.3 MP	Battery						9.1 x 5.9 x 1.9 inches			https://www.amazon.com//Fusion5-Android-Oreo-Tablet-GPS/dp/B07JJFCPPQ/ref=sr_1_1145?qid=1575100185&s=computers-intl-ship&sr=1-1145
$1,399.66	15.6 inches	3840 x 2160	4.1 GHz Core i7-870	16 GB	512 GB flash_memory_solid_state	NVIDIA GeForce GTX 1050 Ti	nvidia	Dedicated	802.11ac			Dell	Dell XPS	NA	Windows 10 Pro	7.9 pounds			Silver	Intel	6	DDR4 SDRAM	512 GB	Solid State			1 Lithium ion batteries required.			PC								19 x 13 x 4 inches			https://www.amazon.com//Dell-InfinityEdge-Fingerprint-Certified-Refurbished/dp/B07G8CQL66/ref=sr_1_1146?qid=1575100185&s=computers-intl-ship&sr=1-1146
$478.50	15.6 inches	1920x1080	2.5 GHz Intel Core i5	8 GB DDR4	1 TB HDD 5400 rpm		intel		802.11ac	2		Dell	Dell	7430000000000	Windows 10	2.65 pounds	15.1 x 10.1 x 1.1 inches	15.06 x 10.08 x 1.06 inches	grey	Intel	2	DDR3 SDRAM		Serial ATA	5400 RPM		1 Lithium ion batteries required. (included)			PC		AC & Battery									https://www.amazon.com//Dell-1920x1080-Touchscreen-Processor-Bluetooth/dp/B01N6STZH1/ref=sr_1_1147?qid=1575100185&s=computers-intl-ship&sr=1-1147
$1,474.99	15.6 inches	1920 x 1080	4.5 GHz 8032	DDR3	HDD 5400 rpm	NVIDIA Quadro T1000	intel	Dedicated		1	1	Lenovo	Lenovo Thinkpad	20QN002LUS	Windows 10 Pro	5.5 pounds	14.9 x 9.9 x 1.2 inches	14.9 x 9.9 x 1.2 inches	Black	Intel	1			Serial ATA	5400	No Optical Drive	1 Lithium ion batteries required. (included)	1920x1080		PC				2666 MHz							https://www.amazon.com//Lenovo-ThinkPad-20QN002LUS-Mobile-Workstation/dp/B07W3HQKCC/ref=sr_1_1148?qid=1575100185&s=computers-intl-ship&sr=1-1148
$585.85	13.3 inches	1920 x 1080 pixels	2 GHz Intel Core i3	4 GB DDR3	16 GB Flash Memory Solid State	AMD Radeon RX Vega 8 Graphics	intel	Integrated	802.11ac	1	1	Dell	Dell Inspiron 13 7000	Inspiron 13 7000	Windows 10	4.19 pounds	18.1 x 11.5 x 2.9 inches	18.1 x 11.5 x 2.9 inches	Black	Intel	4		16.00	Solid State	5400 RPM	No Optical Drive	1 Lithium ion batteries required. (included)			PC						2 GB					https://www.amazon.com//Dell-Inspiron-13-7000-Touchscreen/dp/B01609VJG8/ref=sr_1_1149?qid=1575100185&s=computers-intl-ship&sr=1-1149
$761.99	15.6 inches		8032	8 GB	flash_memory_solid_state	Intel HD Graphics 620	intel	Integrated	802.11ac			Toshiba	Tecra A50-E	A50-E		4.85 pounds					2	DDR4 SDRAM	256 GB				1 Lithium Polymer batteries required.											16.8 x 14 x 2.5 inches			https://www.amazon.com//Business-Computer-i7-8550U-Bluetooth-Professional/dp/B07CNQHLQG/ref=sr_1_1150?qid=1575100185&s=computers-intl-ship&sr=1-1150
$320.00	15.6 inches	1366 x 768	1.6 GHz	4 GB	1 TB mechanical_hard_drive	Intel HD Graphics	intel	Integrated	802.11a/b/g/n	2		HP		15-BN070WM	Windows 10 Home	4.72 pounds	10 x 15.1 x 1 inches	10.02 x 15.13 x 0.96 inches		Intel	4	DDR3L-1600 SDRAM			5400 RPM		1 CR5 batteries required. (included)							1600 MHz							https://www.amazon.com//HP-15-bn070wm-Laptop-Pentium-1-6GHz/dp/B01J7RY7DW/ref=sr_1_1151?qid=1575100185&s=computers-intl-ship&sr=1-1151
$1,229.00	17.3 inches	1920 x 1080	2.6 GHz Intel Core i7	16 GB	256 GB SSD	NVidia GTX 1660 Ti	nvidia	dedicated	802.11ac			MSI	GL75	9SD	Windows 10	10.03 pounds			Black	Intel	6	DDR4 SDRAM	256 GB	Solid State	5400 RPM		1 Lithium Polymer batteries required. (included)	1920x1080		PC								21.3 x 14.8 x 4.5 inches			https://www.amazon.com//MSI-GL75-Gaming-Laptop-i7-9750H/dp/B07YL4CWJ9/ref=sr_1_1152?qid=1575100185&s=computers-intl-ship&sr=1-1152
$649.00	17.3 inches	HD+ ( 1600 x 900 ) Touchscreen	2 GHz AMD R Series	12 GB DDR	128 GB Hybrid	AMD Radeon Vega 8 Graphics Integrated	AMD		Bluetooth			HP	HP Pavilion	NA	Windows 10	5.62 pounds	10.7 x 16.3 x 1 inches	10.72 x 16.33 x 0.96 inches	Silver	AMD	4	DDR SDRAM		Solid State			3 Lithium ion batteries required. (included)	1600 x 900		Business Laptop		AC & Battery									https://www.amazon.com//HP-Pavilion-Business-Touchscreen-Quad-Core/dp/B07T2NRM8T/ref=sr_1_1153?qid=1575100188&s=computers-intl-ship&sr=1-1153
$288.82	11.6 inches	1366 x 768	8032	4 GB DDR4	mechanical_hard_drive	AMD Radeon R5	amd	Integrated	802.11bgn	2		Dell	Dell Inspiron	i3185-A784GRY		3.24 pounds	11.3 x 7.6 x 0.7 inches	11.3 x 7.6 x 0.71 inches	Grey		2	DDR4 SDRAM	500 GB		5400 RPM		1 Lithium Polymer batteries required. (included)	1366 x 768				Battery									https://www.amazon.com//Dell-11-6-9420e-4GB-500GB/dp/B07BY1PCZL/ref=sr_1_1154?qid=1575100188&s=computers-intl-ship&sr=1-1154
$684.00	13.3 inches			8 GB LPDDR3	256 GB flash_memory_solid_state	Intel UHD Graphics 620		Integrated				Samsung	Samsung Notebook 7	NP730QAA-K01US	Windows 10	3.31 pounds	12.4 x 8.5 x 0.7 inches	12.4 x 8.5 x 0.7 inches	Silver	Intel	2	DDR SDRAM	256 GB				1 Lithium Metal batteries required.			PC											https://www.amazon.com//Samsung-Notebook-Spin-NP730QAA-i5-8250U/dp/B07BJY39CD/ref=sr_1_1155?qid=1575100188&s=computers-intl-ship&sr=1-1155
$283.00	14 inches		1.2 GHz Intel Core i5	8 GB	128 GB flash_memory_solid_state	Intel HD Graphics 615		Integrated				Avita	CN6314F551 Clarus	CN6314F551-Silver	Windows 10	3 pounds	14 x 2 x 10 inches	14 x 2 x 10 inches	Silver	Intel	1	DDR3 SDRAM		USB 3.0			1 Lithium Polymer batteries required.		10 hours	PC											https://www.amazon.com//Clarus-Laptop-Windows-Processor-Storage/dp/B07G1GT8S4/ref=sr_1_1156?qid=1575100188&s=computers-intl-ship&sr=1-1156
$350.99	15.6 inches			8 GB	flash_memory_solid_state	AMD Radeon R4	amd	Dedicated	802.11ac			HP	HP	1LB17UT#ABA	Windows 10 Pro	2.65 pounds	15 x 10 x 0.9 inches	14.96 x 9.99 x 0.93 inches		AMD	2	DDR4 SDRAM	256 GB				1 Lithium ion batteries required. (included)														https://www.amazon.com//HP-Business-DVD-Writer-Bluetooth-Professional/dp/B07BQVMWG5/ref=sr_1_1157?qid=1575100188&s=computers-intl-ship&sr=1-1157
$549.95	15.6 inches	1366x768	2.1 GHz Intel Core i3	8 GB SO-DIMM	250 GB SSD	Intel UHD Graphics 620	intel	Integrated	802.11ac			Oemgenuine	E590	E590	Windows 10	4.68 pounds	14.5 x 9.9 x 0.8 inches	14.53 x 9.94 x 0.78 inches	Black	Intel	2	SODIMM		Solid State	1.00					PC											https://www.amazon.com//ThinkPad-E460-1920x1080-i7-6500U-7200RPM/dp/B076DMH44N/ref=sr_1_1158?qid=1575100188&s=computers-intl-ship&sr=1-1158
$449.99	15.6 inches	3840 x 2160	2 GHz Intel Atom	8 GB DDR4	256 GB SSD	Intel HD Graphics 505	Intel		802.11abg, 802.11n	1		CHUWI	CHUWI LapBook Plus	CHUWI LapBook Plus	Windows 10 Home	3.37 pounds	14.2 x 9.5 x 0.6 inches	14.25 x 9.53 x 0.63 inches	Grey	Intel	4	DDR4 SDRAM	256 GB	Solid State			1 Lithium Polymer batteries required. (included)	3840 x 2160	9 hours	PC	2 MP										https://www.amazon.com//CHUWI-LapBook-Plus-Computer-X7-E3950/dp/B07TWFV6ZZ/ref=sr_1_1159?qid=1575100188&s=computers-intl-ship&sr=1-1159
$195.00	14 inches	1366 x 768 pixels	1.1 GHz Celeron N	8 GB DDR4	4 GB Flash Memory Solid State	Inte HD Graphics 600	Intel	Integrated	802.11b, 802.11g	1		HP	HP Stream	4FA75UA#ABA	Windows 10	3 pounds	8.9 x 13.3 x 0.7 inches	8.9 x 13.27 x 0.7 inches	Blue	Intel	2		32.00	Solid State	0.01 RPM	No Optical Drive	1 Lithium Polymer batteries required. (included)	1366 x 768	10 hours	PC				2400 MHz	Click here for Proposition 65 warning	1 GB					https://www.amazon.com//HP-14-inch-Processor-Personal-14-cb110nr/dp/B07DKS66DP/ref=sr_1_1160?qid=1575100188&s=computers-intl-ship&sr=1-1160
$467.34	15.6 inches	1920 x 1080 pixels	3.6 GHz AMD R Series	8 GB DDR4	256 GB Flash Memory Solid State	AMD Radeon RX Vega 8	AMD	Integrated	802.11b/n/ac, Bluetooth	1		ASUS	VivoBook F512DA		Windows 10 Home	3.5 pounds	14.1 x 9.1 x 0.8 inches	14.1 x 9.1 x 0.75 inches	Slate Grey	AMD	4	DDR4 SDRAM	256.00	Solid State	10000 RPM		1 Lithium ion batteries required.			PC				2400 MHz		8 GB					https://www.amazon.com//ASUS-VivoBook-R5-3500U-Graphics-F512DA-EB51/dp/B07VSN5JWR/ref=sr_1_1161?qid=1575100188&s=computers-intl-ship&sr=1-1161
$2,615.31	17.3 inches	1920 x 1080	8032	NA	flash_memory_solid_state		intel	Integrated				HP	HP	6FW70UT		10.4 pounds	11.3 x 16.4 x 1.3 inches	11.3 x 16.4 x 1.3 inches			1		512.00	Ethernet	1 RPM	No Optical Drive	1 12V batteries required.														https://www.amazon.com//HP-Zbook-Mobile-Workstation-Plane/dp/B07NQDNTXP/ref=sr_1_1162?qid=1575100188&s=computers-intl-ship&sr=1-1162
$449.95	1		3.2 GHz 8032	8 GB ddr4_sdram	256 GB flash_memory_solid_state	Amd Radeon Rx	AMD	Integrated	802.11ac	1	1	HP	4HX42UT#ABA	4HX42UT	Windows 10 Professional	2.78 pounds	7 x 6.9 x 1.3 inches	6.97 x 6.89 x 1.34 inches	Black/Silver	AMD	4	DDR DRAM	256.00	Serial ATA	5400	None				Windows		AC		2666 MHz		8					https://www.amazon.com//HP-Smart-Buy-ELITEDESK-705/dp/B07F35XN6V/ref=sr_1_1163?qid=1575100188&s=computers-intl-ship&sr=1-1163
$387.00	11.6 inches	HD ( 1366 x 768 ) Touch screen	2.6 GHz AMD A Series	8 GB DDR	1 TB mechanical_hard_drive	AMD Radeon R5 Graphics Integrated	Intel		Bluetooth			Dell	Dell Inspiron 11 3000	NA	Windows 10 Home	3.25 pounds	8 x 11.5 x 0.8 inches	8 x 11.5 x 0.8 inches	Gray	AMD	2	DDR SDRAM		Serial ATA			2 Lithium ion batteries required. (included)	1366x768		2 in 1 laptop		AC & Battery		2400 MHz							https://www.amazon.com//Dell-Inspiron-Touchscreen-Bluetooth-MaxxAudio/dp/B07S67D6Q7/ref=sr_1_1164?qid=1575100188&s=computers-intl-ship&sr=1-1164
$718.00	23.8 inches		2.2 GHz Intel Core i3	8 GB	1 TB mechanical hard drive				Bluetooth, 802.11ac					24-f0066	Windows 10	10.56 pounds	21.3 x 16.5 x 1.6 inches	21.3 x 16.52 x 1.63 inches		Intel	2	DDR SDRAM		Serial ATA			2 AAA batteries required.			PC				2400 MHz							https://www.amazon.com//HP-Computer-i3-8130U-i5-7200U-Bluetooth/dp/B07MWYZL63/ref=sr_1_1166?qid=1575100188&s=computers-intl-ship&sr=1-1166
$179.00	14 inches	1920 x 1080	1.8 GHz AMD A Series	4 GB DRAM	64 GB Flash Memory Solid State		Intel	Integrated	802.11abg, 802.11a/b/g/n/ac, 802.11a/b/g/n, 802.11a	2	1	Lenovo	Lenovo 14W	81MQ000JUS	Windows 10 Pro	5.4 pounds	19.9 x 13.9 x 13.1 inches	19.9 x 13.9 x 13.1 inches		AMD	1		1	Solid State	7200 RPM	No Optical Drive	1 Lithium Polymer batteries required. (included)														https://www.amazon.com//Lenovo-81MQ000JUS-14W-Notebook-PC/dp/B07Q11TCP9/ref=sr_1_1167?qid=1575100188&s=computers-intl-ship&sr=1-1167
$385.00	15.6 inches	1366 x 768 pixels	1.6 GHz Intel Core i5	12 GB DDR4	2 TB Mechanical Hard Drive	Intel HD Graphics 620	intel	Integrated	802.11ac	1	1	HP	HP 15.6	T8TJG	Windows 10	6.61 pounds	14.9 x 10 x 0.9 inches	14.95 x 9.99 x 0.94 inches	Blue	Intel	4	DDR3 SDRAM	4.00	Serial ATA	5400 RPM	DVD+RW	1 Lithium Polymer batteries required. (included)		8 hours	PC						8 GB					https://www.amazon.com//HP-Flagship-Performance-i5-8250U-Quad-Core/dp/B077P7D2B2/ref=sr_1_1168?qid=1575100188&s=computers-intl-ship&sr=1-1168
$999.00	23.8 inches		2.7 GHz Core i7 7500U	12 GB ddr4_sdram	1 TB HDD 5400 rpm	Intel Integrated Graphics		integrated	802.11ac	2		Dell AIO	Inspiron		windows 10	28.6 pounds	22 x 15 x 2 inches	22 x 15 x 2 inches	Black	Intel	2	DDR SDRAM		eSATA			1 Lithium Polymer batteries required.			PC		AC									https://www.amazon.com//Dell-Inspiron-Touchscreen-1920x1080-Bluetooth/dp/B079PJZVPY/ref=sr_1_1169?qid=1575100190&s=computers-intl-ship&sr=1-1169
$93.13	11.6 inches	1366x768	2.16 GHz	4 GB DDR3	16 GB flash_memory_solid_state	Intel HD Graphics	Intel	Integrated	802.11abg, Bluetooth	1		Dell			Chrome OS	2.74 pounds	11.7 x 8.6 x 0.8 inches	11.69 x 8.57 x 0.83 inches		Intel	2	DDR3 SDRAM	16 GB	Solid State			1 Lithium ion batteries required.		10 hours		1 MP										https://www.amazon.com//Dell-11-3120-Celeron-Certified-Refurbished/dp/B06XJFTYBL/ref=sr_1_1170?qid=1575100190&s=computers-intl-ship&sr=1-1170
